"","m1_median","m2_mean","qunatile1","qunatile3","standard_dev","coef_of_dist","coef_of_variation","i"
"1",2591,2900.509,1976,3440.25,1455.53013431864,0.565129293708993,0.501818865005639,0
"2",2444,2724.87333333333,1856.75,3229.25,1455.89573255903,0.56157937806874,0.534298499217955,0.2
"3",2441,2743.921,1856,3233,1369.20709759981,0.564113068414584,0.498996544579751,0.5
"4",2403,2658.103,1831.75,3134.75,1431.8439661635,0.542238868081565,0.538671363059858,1
"5",2439.5,2696.497,1856.75,3214.25,1264.61707251815,0.556466489034638,0.468985158343639,3
"6",2645.5,2893.5275564409,1974,3453.75,1387.61937168009,0.559346059346059,0.479559756944872,5
"7",2847.5,3185.851,2105,3742,2580.56988055645,0.574890254609306,0.810009595726998,9
"8",4099,4591.02266666667,2992,5580,2397.46149611654,0.631373505733106,0.522206416780169,15
"9",10486.5,11660.0113333333,7063.25,14603,6864.99765118594,0.718995851809469,0.58876423486489,35
"10",19236,20670.6636666667,13164.75,25952.75,11134.3557578302,0.664795175712206,0.538654971963256,60
"11",26827.5,29356.6506666667,18695,36798,15681.6397248753,0.674792656788743,0.534176732316441,100
"12",34634.5,38143.7377260982,25348.25,46093.25,19641.8853540438,0.598969235877521,0.51494390757109,200
