"","m1_median","m2_mean","qunatile1","qunatile3","standard_dev","coef_of_dist","coef_of_variation","i"
"1",3784.5,4539.088,2875.75,5153.25,5372.55943642214,0.601796802748051,1.18362090279416,0
"2",3721,4271.53833333333,2790.75,5089.75,2331.59889811072,0.617844665412523,0.545845247347045,0.2
"3",4108.5,4740.693,3063.5,5601,2669.90324716098,0.617622003164172,0.563188387681079,0.5
"4",3868,4414.522,2958.25,5152,2236.94202369853,0.567153567735264,0.506723496609265,1
"5",4746,5419.34033333333,3671.75,6408,2723.4661152779,0.576538137378845,0.502545687807496,3
"6",6420,7289.44466666667,4918.5,8562,3559.3591889857,0.567523364485981,0.488289485927785,5
"7",6880.5,7731.23233333333,5203.75,9192.25,3845.83684894599,0.579681709178112,0.497441634545711,9
"8",9178.5,10351.589,6964.5,12152,5270.00071137677,0.565179495560277,0.509100652216463,15
"9",17204,19186.422,12946.75,22765.25,9667.18939120835,0.570710299930249,0.503855767959672,35
"10",22160.5,24912.6066666667,16616,29631.25,12538.1543428607,0.587317524424088,0.503285525702813,60
"11",30156,33787.7096666667,21930.75,40992,17606.0376064228,0.632088141663351,0.521078160671898,100
"12",36254.5,41314.9783333333,26831.75,50217,20690.8955730873,0.645030272104153,0.500808578577752,200
