"","m1_median","m2_mean","qunatile1","qunatile3","standard_dev","coef_of_dist","coef_of_variation","i"
"1",2444.5,2832.252,1905,3265,1550.34458060207,0.556350992022909,0.547389349747857,0
"2",2409,2746.7890625,1884.75,3153,1437.72531855111,0.526463262764633,0.523420359495156,0.2
"3",2540.5,2913.87766666667,1914.75,3372.25,1639.38949287156,0.573705963393033,0.562614385506081,0.5
"4",2361.5,2712.253,1830,3141.75,1424.99860233729,0.555473216176159,0.525392949085976,1
"5",2644,3016.84666666667,2044,3527.25,1560.74140685399,0.560987140695915,0.517341973027242,3
"6",4828.5,5699.12433333333,3433,6872.25,3749.19443478789,0.712281246764005,0.657854472986211,5
"7",6145,7288.348,4274,8936.25,4923.39780878584,0.758706265256306,0.675516291042337,9
"8",19066.5,21652.303,14022,25957.25,12729.2785157828,0.625980122203865,0.587894900407719,15
"9",31117.5,35345.496,23580.75,41170.5,18994.2951374504,0.56526873945529,0.53738940705346,35
"10",34789.5,39311.0903333333,26638,45568,20259.7425160945,0.544129694304316,0.515369641093762,60
"11",35136,40307.6413333333,26880,47208,21013.2805016218,0.578551912568306,0.521322503786506,100
"12",37379,42869.6046666667,29332,49470,22538.3281133811,0.53875170550309,0.525741449883392,200
