"","m1_median","m2_mean","qunatile1","qunatile3","standard_dev","coef_of_dist","coef_of_variation","i"
"1",591,666.878333333333,449,766.25,1005.22098396626,0.536802030456853,1.50735289140636,0
"2",NA,NA,NA,NA,NA,NA,NA,0.2
"3",NA,NA,NA,NA,NA,NA,NA,0.5
"4",NA,NA,NA,NA,NA,NA,NA,1
"5",NA,NA,NA,NA,NA,NA,NA,3
"6",NA,NA,NA,NA,NA,NA,NA,5
"7",NA,NA,NA,NA,NA,NA,NA,9
"8",NA,NA,NA,NA,NA,NA,NA,15
"9",NA,NA,NA,NA,NA,NA,NA,35
"10",NA,NA,NA,NA,NA,NA,NA,60
"11",NA,NA,NA,NA,NA,NA,NA,100
"12",590.5,633.449,450.75,768,357.161817089764,0.537256562235394,0.563836736800854,200
