"","m1_median","m2_mean","qunatile1","qunatile3","standard_dev","coef_of_dist","coef_of_variation","i"
"1",40255,44350.516,30830.75,52038,20713.0694630694,0.526822754937275,0.467031081736893,0
"2",NA,NA,NA,NA,NA,NA,NA,0.2
"3",NA,NA,NA,NA,NA,NA,NA,0.5
"4",NA,NA,NA,NA,NA,NA,NA,1
"5",NA,NA,NA,NA,NA,NA,NA,3
"6",NA,NA,NA,NA,NA,NA,NA,5
"7",NA,NA,NA,NA,NA,NA,NA,9
"8",NA,NA,NA,NA,NA,NA,NA,15
"9",NA,NA,NA,NA,NA,NA,NA,35
"10",NA,NA,NA,NA,NA,NA,NA,60
"11",NA,NA,NA,NA,NA,NA,NA,100
"12",40876.5,45162.9753333333,31639.75,52244,21505.1570452587,0.504061013051509,0.476167854011744,200
