"","m1_median","m2_mean","qunatile1","qunatile3","standard_dev","coef_of_dist","coef_of_variation","i"
"1",44268.5,49214.4823333333,34202.75,56092,22893.6871262895,0.494465590657013,0.465181914771121,0
"2",NA,NA,NA,NA,NA,NA,NA,0.2
"3",NA,NA,NA,NA,NA,NA,NA,0.5
"4",NA,NA,NA,NA,NA,NA,NA,1
"5",NA,NA,NA,NA,NA,NA,NA,3
"6",NA,NA,NA,NA,NA,NA,NA,5
"7",NA,NA,NA,NA,NA,NA,NA,9
"8",NA,NA,NA,NA,NA,NA,NA,15
"9",NA,NA,NA,NA,NA,NA,NA,35
"10",NA,NA,NA,NA,NA,NA,NA,60
"11",NA,NA,NA,NA,NA,NA,NA,100
"12",44233,48735.155,33920.25,56925.75,23723.0434128486,0.520098116790631,0.486774760700947,200
