"","m1_median","m2_mean","qunatile1","qunatile3","standard_dev","coef_of_dist","coef_of_variation","i"
"1",2483,2993.14356247626,1657,3669,2226.69961636267,0.810310108739428,0.743933449861153,0
"2",2558,3029.66477272727,1706.75,3805,2077.31356199127,0.820269741985927,0.685657892150652,0.2
"3",2761,3282.43198181129,1885.5,4026.5,2116.45416267918,0.77544367982615,0.644782336513579,1
"4",3121,3689.7290881688,2148,4581.75,2248.91810402319,0.779798141621275,0.609507649554649,2
"5",3725,4414.32405712193,2541.5,5556,2665.01174001836,0.809261744966443,0.603719098446956,3
"6",4221.5,4921.54453592814,2936,5961.25,2931.86162613382,0.716629160251096,0.595719820217152,4
"7",4400,5144.98175725987,3099.25,6350.25,3054.50158796448,0.738863636363636,0.593685601247157,5
"8",4984,5826.36034677723,3440,7162,3465.19255815948,0.746789727126806,0.594743948522889,6
"9",5682.5,6580.20892193309,3968.25,8084.75,3876.31155345156,0.724417069951606,0.589086395195003,8
"10",6219,7298.89797449362,4345.25,8945,4353.29935475824,0.739628557645924,0.596432416232021,10
"11",7061,8104.03153153153,4888.75,10022,4626.24168939959,0.726986262569041,0.57085682248392,13
"12",7631,8870.19303557911,5309,10967.25,5135.4452880478,0.741482112436116,0.578955302037857,15
"13",6957,8396.77621580547,4819.25,10202,5330.8837584602,0.773717119448038,0.634872672731916,17
"14",8377,9685.85810306199,5721,11770.75,5830.05651661759,0.722185746687358,0.601914301715254,20
"15",8602,10216.3562312312,6005.25,12429,6484.97920180296,0.746774006045106,0.634764396916631,26
"16",10954,12735.0457142857,7647,15664,7422.32578475737,0.731878765747672,0.582826787691172,30
"17",12476,14320.3587409936,8769,17384,8195.69665923118,0.690525809554344,0.572310848314863,35
"18",15005,17143.4937712344,10349,21078,9691.53481616591,0.715028323892036,0.565318536903348,45
"19",15304,17431.1884272997,10734.25,21178.5,9755.96095057377,0.682452300052274,0.559684211507607,50
"20",18288.5,21142.402346707,12551.5,26231.25,12399.2469746573,0.747997375399841,0.586463485621278,65
"21",19110,22096.704315197,13249,27369,12836.7877954935,0.738880167451596,0.58093675927342,80
"22",21237,24203.5908579993,14346,29504,14617.4008504982,0.713754296746245,0.603935215078515,100
"23",25587.5,29476.0735183796,17481.5,36707.5,17248.9350523553,0.751382510991695,0.585184286557022,200
"24",29261,34124.1437239287,19821,41952,21654.3607299397,0.756330952462322,0.634575944384947,400
