"","m1_median","m2_mean","qunatile1","qunatile3","standard_dev","coef_of_dist","coef_of_variation","i"
"1",3510.5,4186.91737588652,2265,5079.75,3248.81222084476,0.801808859136875,0.775943714474868,0
"2",4316.5,5356.05349932705,2784.75,6523.5,4209.53560178122,0.866153133325611,0.785939797335878,0.2
"3",4908,5817.06117647059,3252,7173.5,4115.0564737805,0.79900162999185,0.7074115861847,0.5
"4",5710,6900.44630872483,3742.25,8528,5088.02232322157,0.838134851138354,0.737346846216069,1
"5",9213,10891.1506572295,5876,13672,8152.75575812688,0.846195593183545,0.748566980176249,2
"6",13588,15910.5527553763,8887.5,19938.75,11456.6980014184,0.813309537827495,0.720069137607241,4
"7",16130.5,18903.3618022865,10802.25,23434.25,13043.0881880622,0.783112736740957,0.689987755854335,5
"8",18304.5,20589.7072434608,12213.75,25973.25,12934.7457002667,0.751700401540605,0.628214162898054,7
"9",21017,24339.5519677094,14331,30667,15856.8656342292,0.777275538849503,0.651485518520064,8
"10",23410,27487.2778969957,15404,35011.25,18491.3706907457,0.837558735583084,0.672724696859372,10
"11",26496,31225.8094269244,17697,39033,20543.832763722,0.805253623188406,0.657911936976344,12
"12",30120,35778.701619121,19502,44935.75,24184.9926730099,0.84441401062417,0.675960601658189,14
"13",29133.5,33953.400270453,19280.75,42451.75,22368.9682497282,0.795338699435358,0.658813788060991,16
"14",32694,38440.1719120135,22158.5,48103,25238.0809589077,0.793555392426745,0.656554841031294,18
"15",34183.5,39066.25606469,22588,49265.5,24979.7071739561,0.780420378252666,0.63941902015366,20
"16",40757.5,46785.9829234973,26603.25,59894.25,30041.7544729413,0.816806722689076,0.642110149145834,25
"17",37434.5,42963.550405954,24644.75,54157.75,28258.4946630894,0.788390388545326,0.657731830728154,27
"18",39543,45079.772082879,26221,58332,28921.8909234328,0.812052702121741,0.641571365317909,30
"19",40305,46286.7570061517,26247.75,59787.75,29059.2404054715,0.832154819501303,0.627808951955942,45
"20",40605,46285.0970677452,27105,59304,28383.5524292335,0.792981159955671,0.613233075598609,60
"21",39876,46909.3896633798,27060,60332,29241.5235812629,0.834386598455211,0.623361842716332,100
"22",39416,44788.1238390093,27791,58465,26364.6852523938,0.77821189364725,0.588653486517129,200
"23",40500,46901.7748726655,27617,59840,28471.0809216843,0.79562962962963,0.607036322164374,400
"24",41625,47738.9059185768,28136,60022,28097.274314213,0.76603003003003,0.588561337415976,600
