"","m1_median","m2_mean","qunatile1","qunatile3","standard_dev","coef_of_dist","coef_of_variation","i"
"1",5123,7313.46371681416,3059,10207,6053.89637023293,1.39527620534843,0.827774171671161,0
"2",7014,10358.2612868823,4226,15053,8414.75085294416,1.54362703165098,0.812370978090751,0.2
"3",8998,12827.3142453164,5339,17395,10619.8258646033,1.3398533007335,0.827907203449146,0.5
"4",9910,15111.9619217082,6005.5,20808.5,13030.7335078754,1.49374369323915,0.862279403255832,0.7
"5",11137,17030.9636042403,6880.75,22598.25,14657.9620593937,1.41128670198438,0.860665456166214,1
"6",15351,22921.9764369868,9054,31239,19648.8075557893,1.44518272425249,0.857203898180618,1.5
"7",16698.5,24237.0128113879,9900,32619.75,20473.9320988321,1.36058628020481,0.844738262844518,2
"8",19331,27428.3711229947,11655,35891,22298.7944897723,1.25373752004552,0.812982819496634,2.5
"9",22106,31559.6599423631,13174.75,41847.25,25781.6736078692,1.29704605084592,0.816918612398036,3
"10",25218,36912.8987341772,15370,48294,30798.7635208468,1.30557538266318,0.834363178644937,4
"11",25533,36852.9296428571,15627,49675.5,30279.0665442193,1.33350957584303,0.821618982199099,5
"12",30828.5,44124.3335694051,18475,60061.25,35482.1902471651,1.34895470100718,0.804141102581268,6
"13",33003,45961.4631427544,19273,62454,37596.572568575,1.30839620640548,0.818002082566467,7
"14",32674,46735.1743810549,19353.5,63603,38680.5538816968,1.3542725102528,0.827653997101096,8
"15",38637,51549.619303911,22246,71342.5,39879.6623569626,1.27071201180216,0.773617010085989,10
"16",37542,51929.5982752425,22564.5,70553,40884.3857928441,1.27826168025145,0.7873041030694,12
"17",40719,56118.9625935162,25007.5,75638,43561.572798409,1.24341216631057,0.77623624502713,15
"18",44363,60356.295503212,26705.5,84347,46518.7027001292,1.29931474426887,0.77073488875164,20
"19",43442,59401.9827895303,27031,79900,45323.9482470502,1.21700197965103,0.763003962471074,25
"20",43006,58847.5135714286,27164,77262.5,45238.2718760494,1.16491884853276,0.768737184131656,30
"21",44114,59001.4926968294,28208.5,76306.5,44260.6226133459,1.09031146574784,0.750161065259361,40
"22",45226,59384.2874251497,29205.5,76290,43597.294191604,1.0410936187149,0.734155381531786,45
"23",48313.5,64921.8483547926,29513.75,89807,48219.6273082209,1.2479586450992,0.7427334330456,60
"24",46330,61148.2797127469,28549,83734,44611.9508303442,1.19112885819124,0.729570006546635,200
