"","m1_median","m2_mean","qunatile1","qunatile3","standard_dev","coef_of_dist","coef_of_variation","i"
"1",4406.5,5118.91471571906,3190,5904,3352.52037092816,0.615908317258595,0.654927959755474,0
"2",4428,5078.27835396454,3285,5896,2990.48371117064,0.589656729900632,0.588877470419875,0.2
"3",5619,6333.37570904238,4109,7348,3663.33416164706,0.576437088449902,0.57841731328473,1
"4",8821,10099.8661548732,6560.75,11610,6108.87970382752,0.572412424895137,0.60484759007227,3
"5",10761,12324.6832609422,8125,14092,7282.63804673116,0.554502369668246,0.590898596948967,4
"6",13101,15094.4737896494,9917.5,17186.5,9127.53557419602,0.554843141744905,0.604693856930273,5
"7",21564,23869.4305787889,16572,27640,12379.5802387844,0.513262845483213,0.518637434517827,7
"8",21344,24362.2004677581,16182,27800,14158.3383454339,0.544321589205397,0.581160078875945,10
"9",25664,29437.7196792516,19260,33681,16898.3306352024,0.561915523690773,0.574036671974725,13
"10",28546.5,32509.2282754011,21526,37513,18669.1933980582,0.560033629341601,0.574273656695341,17
"11",32728.5,37009.0300802139,24843.5,43104,20768.8257461446,0.55793879951724,0.561182654642122,23
"12",37827,42761.1165275459,28428.5,48957,24451.9621164874,0.54269437174505,0.571827026563629,30
"13",42680,48106.9198396794,31877.75,55439,26396.2956126123,0.552044283036551,0.548700596516682,40
"14",41449,46596.643597459,31651.5,55440.5,24094.7089029053,0.573934232430215,0.517091083019963,50
"15",41818.5,47653.8435828877,31486.25,55260.5,26614.9580531973,0.568510348290828,0.558506010263454,70
"16",42061,47428.5332442366,31255,54736,26308.0878083782,0.558260621478329,0.554689044944798,100
"17",42457,47309.5716672235,31585,55813,24994.486041276,0.570647949690275,0.528317741219212,130
"18",42615,47520.8323835065,32118,55420.5,24848.4063568049,0.546814501935938,0.522895014890969,150
"19",42368.5,47043.9903074866,31702.75,54681,25036.8448683227,0.54234277824327,0.53220070628954,180
"20",42105,47019.1073937772,31829,54896,24546.6377353795,0.547844674029213,0.5220566509229,200
"21",42900,48016.0772833724,32175,55981,25343.0994448377,0.554918414918415,0.527804453813928,250
"22",41985,47244.0611222445,31231.25,54788,26215.0197457342,0.561075384065738,0.554884976503238,300
"23",40016,45223.012345679,30251,52622,24049.0583832092,0.559051379448221,0.531788068414843,350
"24",42561,48188.5255085028,31883,56078,25664.2604735139,0.56847818425319,0.532580322860998,400
