"","m1_median","m2_mean","qunatile1","qunatile3","standard_dev","coef_of_dist","coef_of_variation","i"
"1",4286,4806.59104577347,3127,5858,2429.97381724303,0.637190853943071,0.505550356604552,0
"2",4175,4605.97729549249,3123,5458.5,2270.34275825596,0.55940119760479,0.492912277374396,0.5
"3",4824,5302.67111853088,3570.5,6362.5,2511.26626615664,0.5787728026534,0.473585144170207,1
"4",5718,6239.29195862529,4223,7576,2910.75847074471,0.586393844001399,0.466520638887692,3
"5",7739,8504.77807576266,5898,10142.5,3876.59343543754,0.54845587285179,0.455813591007772,5
"6",9375,10493.26795857,7063,12523,5348.78587256278,0.5824,0.509734993300571,8
"7",11839,13114.307408649,9090,15594.5,6201.10394314736,0.549412957175437,0.472850280988356,12
"8",14342.5,15744.9613075384,10836,18689.75,7043.93891279904,0.547585846261112,0.447377340294037,15
"9",13841,15474.8696088265,10618,18380.5,7316.93113281726,0.560833754786504,0.47282667432906,17
"10",14378,16016.1161936561,10796.5,19127,7878.56457815419,0.579392126860481,0.491914798999451,21
"11",16006.5,17787.7469959947,12099,21289.75,8508.51763717067,0.574188610876831,0.478335881384335,23
"12",17603,19235.6050083472,13292.5,22804,8997.31058866478,0.540334033971482,0.467742531870478,25
"13",17909.5,19857.6077384923,13319,23676,9607.20838203252,0.578296434853011,0.483804922957046,30
"14",23209,25588.9101836394,17524.5,30514.5,11784.6215023728,0.559696669395493,0.460536279888445,35
"15",25758,28662.7686392511,19650,33822,13400.6846498571,0.550197996738877,0.467529317161151,40
"16",27130,30111.6467445743,20572.5,35932.5,14401.1605309211,0.566162919277553,0.478258816366993,50
"17",32022,35102.6094951521,23941,41475.5,16511.6297963304,0.547576666042096,0.470381832969164,60
"18",34069,37897.663994656,26018,44563,17965.876377251,0.544336493586545,0.474062896852545,75
"19",37220,41640.8357310137,28031,49618,20071.1455552254,0.579983879634605,0.48200630950057,100
"20",38934,42747.5713809206,29370.75,51522,19796.2432699324,0.568943596856218,0.463096326421201,150
"21",47903,52461.5045105246,36291,62280,23266.453901396,0.542533870530029,0.443495742611202,200
"22",40607,44659.2062062062,30303,54402,20458.3060633939,0.59346910631172,0.458098291513091,300
"23",42094,46861.2707846411,31355,56995.5,22313.1788534839,0.60912481588825,0.476153942901546,400
"24",44816,49249.7438983618,33127.5,59492.5,23489.2381694941,0.588294359157444,0.47694132619186,600
