"","m1_median","m2_mean","qunatile1","qunatile3","standard_dev","coef_of_dist","coef_of_variation","i"
"1",1749.5,2034.11157654227,1193,2476,1406.76219918995,0.733352386396113,0.691585562666757,0
"2",1732.5,1994.2753021148,1197,2415.25,1225.61241305877,0.703174603174603,0.614565306885705,0.2
"3",1842.5,2098.03156664069,1328,2496,1280.74774492781,0.633921302578019,0.610452085322294,1
"4",1957,2207.75371145794,1406,2724.5,1175.56146421637,0.673735309146653,0.532469477059587,2
"5",2293,2583.83553875236,1613,3153,1423.26314268321,0.671609245529874,0.550833488175663,3
"6",2874,3311.69509433962,2012.25,4122,1916.02525532014,0.734081419624217,0.578563303908935,4
"7",3118,3649.02987897126,2195.25,4465.5,2171.25718969938,0.728110968569596,0.595023132644643,5
"8",3882,4554.06148623161,2546.5,5720.5,3345.90088920293,0.817619783616692,0.734707008089079,6
"9",5702,6686.94313874147,3854,8287.75,4142.07041139277,0.777578042792003,0.619426593804166,8
"10",5757,6928.99129447388,3859.25,8660.25,4718.50135859993,0.833941288865729,0.680979547825828,10
"11",9101,10387.8471028037,6103.5,12984,6224.67542579483,0.756015822437095,0.599226708305589,13
"12",9949,11545.6554878049,6700,14134.5,7210.48268590188,0.747261031259423,0.624519127001318,15
"13",10809.5,12661.1582952816,7481.25,15582.25,8051.70784150068,0.749433368795967,0.635937696514015,17
"14",12496,14240.0139751553,8851.25,17208.75,8182.99632200933,0.668814020486556,0.574648054158254,20
"15",13231,14341.1911165444,9509.5,17570.75,7043.04701261596,0.609269896455294,0.491106140025628,26
"16",16974,18918.3525068014,12205,22956,9974.77293460454,0.633380464239425,0.52725378338407,30
"17",19217,21029.2161100196,13868,25261,11150.091777359,0.592860488109486,0.530219087531581,35
"18",21093,23292.6485849057,14929.25,28344,12283.6455737029,0.635981131180961,0.527361477546315,45
"19",21162.5,23170.381342701,15167.5,28679.25,11032.5513223892,0.638476077968104,0.476148888497452,50
"20",21013,22551.5760649087,15017,27332,11192.6440431626,0.586065768809784,0.496313162811661,65
"21",23610,26810.2573474002,16454.5,32653,15261.578769461,0.686086404066074,0.569244023722171,80
"22",24884,28340.6998095238,17744,34473,15913.1095051856,0.67227937630606,0.56149317455591,100
"23",25129,28898.4371010139,17529,35428,17252.271052423,0.712284611405149,0.596996681589319,200
"24",26440,30174.5893464299,17876.5,37506.5,18504.2716377332,0.742435703479576,0.613240214317033,400
