"","m1_median","m2_mean","qunatile1","qunatile3","standard_dev","coef_of_dist","coef_of_variation","i"
"1",2649,3243.01690902942,1756,4110,2220.64657555326,0.888637221593054,0.684747146821958,0
"2",2806,3395.28330522766,1865,4292,2266.06109121175,0.864932287954383,0.667414435703417,0.2
"3",2514.5,2949.11652115514,1645,3734,2076.57073229805,0.830781467488566,0.70413315899932,0.5
"4",3424,4507.75537634409,2191.25,5588.25,3836.98241237985,0.992114485981308,0.851195793036077,1
"5",10353,13314.3426549865,5678.25,17131,11888.7282982475,1.10622524872018,0.892926418248289,2
"6",27456,31844.3264295362,17864,40824,21678.7448592238,0.836247086247086,0.680772598760838,4
"7",32850,37640.8265100671,21572.75,47614.75,23988.3379028328,0.792754946727549,0.637295727191779,5
"8",33873,38382.0153794717,22997,50070.5,22316.4412315652,0.799264901248782,0.581429636013875,7
"9",36888,41989.5702174714,24235,54193,25347.1026816248,0.81213402732596,0.603652348674865,8
"10",38441,42730.4389952153,26511.75,54051.75,24478.4061210083,0.716422569652194,0.572856415627961,10
"11",36434.5,42639.5812542144,23886.25,55147.25,27036.4857928495,0.858005461856208,0.634070152604448,12
"12",38443.5,46588.7394636015,26309,58003,31045.4459904922,0.824430657978592,0.666372311162168,14
"13",39636.5,46180.7570659489,26618,59269,27714.0601297609,0.823760927428002,0.60012139017521,16
"14",40889,46891.8577167727,26865,60905,28245.3521811184,0.832497737777886,0.602350888969266,18
"15",39482,44732.0414438503,26351.25,57854,26181.6964396822,0.797901575401449,0.585300728395029,20
"16",38741,44082.8582941572,25536.25,58374.25,25990.2827179354,0.847629126764926,0.589577983907188,25
"17",39600,44668.2286965308,26341,57561,25919.2389465685,0.788383838383838,0.580261176745105,27
"18",39313,44910.959582351,25525,58252,28280.2242279263,0.832472718947931,0.62969539041067,30
"19",37568,42619.6795431643,24103,55249,25609.2581283509,0.8290566439523,0.600878711497921,45
"20",37872.5,43120.9081769437,25472.25,55138,25458.8262390593,0.783305828767575,0.590405613318503,60
"21",41556.5,48551.1845683209,27577,62582.5,30156.294409487,0.842359197718768,0.621123762017614,100
"22",36317,41681.573964497,25245,51796.5,24751.2339124674,0.731103890739874,0.593817160876642,200
"23",41528.5,47842.4969387755,27735.75,62020.25,28881.6692147498,0.825565575448186,0.603682313063842,400
"24",46606,48039.4647696477,31453.25,61209,23433.5734885662,0.6384532034502,0.487798388282044,600
