"","m1_median","m2_mean","qunatile1","qunatile3","standard_dev","coef_of_dist","coef_of_variation","i"
"1",3921,9212.20922746781,2184.25,9678.25,17427.5792129758,1.91124713083397,1.89179151088019,0
"2",5019,7259.46354538956,3046.5,9650.5,6017.75356162221,1.31579996015142,0.828952927994802,0.2
"3",13702.5,20057.9563974267,8119.5,26305.75,18502.5660945499,1.32722130997993,0.922455195730891,0.5
"4",19369,27647.6813147553,11428.5,36898,23875.9072971378,1.31496205276473,0.863577202924266,0.7
"5",25054,34719.5240158902,15285,45810,28228.5296325977,1.21836832441925,0.813044833785112,1
"6",32591,44601.5101749375,19707,61114,34777.5775434298,1.2705041269062,0.779739910308508,1.5
"7",36653,48985.3302225413,23164.75,64891.25,37001.509002807,1.13841977464328,0.755358978590294,2
"8",38137,50529.3259927798,23771,65034,38480.5231183346,1.08196764297139,0.761548315998379,2.5
"9",39446,53420.6850848682,24623,72033,40883.6853031532,1.20189626324596,0.76531563079362,3
"10",38655,51536.417989418,25841,62995,38760.8560268599,0.961169318328806,0.752106132692782,4
"11",40984.5,54949.3538350217,25665.25,75155,40677.3084979715,1.20752357598604,0.740269096158979,5
"12",41814.5,55834.3884057971,26328,76858.5,41428.8933231947,1.20844443912997,0.741996008303965,6
"13",43873,60397.4496208017,28172,82235,45019.4310492993,1.23226129966038,0.745386292499906,7
"14",41521,55291.2454706927,25946.5,73090.5,42284.4934426724,1.13542544736398,0.764759286623149,8
"15",40487,54008.6149157404,25495,73611,40272.6268818447,1.18843085434831,0.745670425814004,10
"16",40704,54243.5658223332,25598,71192,41234.8229957816,1.12013561320755,0.760179062173754,12
"17",44984.5,58745.6102783726,27914.5,79907,42959.2098775235,1.15578699329769,0.731275233569905,15
"18",43995,58686.8552164656,27289,79118.75,44329.832010612,1.17808273667462,0.75536219903251,20
"19",44514,59108.5423365488,28427,75619,44487.5684670727,1.06016084827245,0.752641948329093,25
"20",43796,57793.2241992883,27549,73467,43523.8855904954,1.04845191341675,0.753096685528603,30
"21",43518.5,57432.1117945007,28286.25,75179,41954.633042009,1.07753599044085,0.730508277183467,40
"22",42873,57152.2938643703,27421,72901,42715.8608802679,1.06080750122455,0.747404137122441,45
"23",44135.5,59812.7157287157,27761.75,80444.5,45384.5493360216,1.19365929920359,0.75877760745501,60
"24",43151,57590.4226767133,27168,78642.5,42348.6224069535,1.1928924011031,0.735341406411958,200
