"","m1_median","m2_mean","qunatile1","qunatile3","standard_dev","coef_of_dist","coef_of_variation","i"
"1",3178,3668.44526034713,2333,4205,2179.51517912454,0.589049716803021,0.594125037841863,0
"2",3191,3657.16789052069,2374.5,4224.25,2289.40596873217,0.5796772171733,0.626005159529662,0.2
"3",3515.5,3986.68762541806,2632,4563,2424.01822146342,0.54928175224008,0.608028129921321,1
"4",14217,16709.6992656876,9723,20453.5,11076.4671140619,0.754765421678273,0.662876508903232,3
"5",27137,30397.8938230384,20128.5,35602.5,17444.7992967269,0.570217783837565,0.573881841889507,4
"6",31377,35379.3725359171,23382,41076,19387.8570059189,0.563916244382828,0.547998893599268,5
"7",34499.5,38840.170894526,26074.75,45308.25,21195.6893683401,0.557500833345411,0.545715656759053,7
"8",38896,43024.9419419419,28948,49752,22301.1066613384,0.534862196626902,0.518329732819434,10
"9",38700,44014.1543601737,29322,51392,24600.6860746975,0.570284237726098,0.558926700565159,13
"10",39437,44167.3222036728,29368,51586.5,23168.2435092225,0.563392245860486,0.524556218336821,17
"11",39282,43935.5120240481,29660.25,50769.5,23319.6947975613,0.537377170205183,0.530770980540691,23
"12",40021,45476.8421755088,30196,53090,24357.1855370819,0.572049673921191,0.535595357370686,30
"13",41109,45532.8238238238,30753,53397,23726.8188729568,0.550828285776837,0.521092629017715,40
"14",39859.5,44019.7551770207,29312.25,51340.75,23085.1655908294,0.552653696107578,0.524427396245046,50
"15",39298,44071.8892595063,29836.25,51494.25,23283.0550994604,0.551122194513716,0.528297186498267,70
"16",36945,41401.7770360481,27308.5,48583.75,22341.0069238977,0.575862768980918,0.539614686211309,100
"17",39129,43819.1789649416,28794.5,51472.5,23814.9692959244,0.579570139794015,0.543482782162078,130
"18",39091.5,44493.8358905937,29578,51461,25070.5882269336,0.559789212488648,0.563462055476177,150
"19",39084,43921.4128042681,29172.5,50985,24374.1391974238,0.55809282570873,0.55494888805251,180
"20",39609,44411.2020033389,30119.5,51987.5,24310.499680406,0.552096745689111,0.547395670096438,200
"21",38574.5,43113.8453573814,29159.5,50594.5,23058.9124550622,0.555677973790976,0.534837759516024,250
"22",39653,44901.4099565653,29570,52044,24845.2988799589,0.566766701132323,0.55333003805432,300
"23",41453.5,47711.4365821095,31587,55258,26833.5459829859,0.571025365771286,0.562413289249977,350
"24",43849,49266.5295295295,33092,57414,25464.6675199595,0.554676275399667,0.516875610341021,400
