"","m1_median","m2_mean","qunatile1","qunatile3","standard_dev","coef_of_dist","coef_of_variation","i"
"1",3130,3494.89515859766,2350.5,4145.5,1924.59536587251,0.573482428115016,0.550687582469501,0
"2",3055,3516.71986644407,2306,4100.5,2677.77009568783,0.587397708674304,0.761439693061324,0.5
"3",2665.5,3004.19125500668,2015,3595,1577.65944741686,0.592759332207841,0.525152799372406,1
"4",3699,4105.08822542771,2738,4860,2064.38828726645,0.573668559070019,0.502885242387541,3
"5",4836.5,5472.73729946524,3692.25,6484,2858.76472667127,0.5772252662049,0.522364690691549,5
"6",9878.5,11381.3237458194,7406.75,13520.5,6698.98795706616,0.618894569013514,0.588594798520413,8
"7",20517,22748.8030810449,15291.25,27407.75,11050.1657218253,0.590559048593849,0.485747126231564,12
"8",26306,29303.087320174,20062,35163,14296.0502560824,0.574051547175549,0.487868397615571,15
"9",27311.5,29898.1820307281,20667,35277.5,14318.8361546549,0.534957801658642,0.478919960415607,17
"10",25962,28586.1265442404,19447,33923,13663.2888623036,0.557584161466759,0.477969228925019,21
"11",33310.5,36510.8931909212,25082,43241.75,17042.6536649033,0.545165938667988,0.466782709910289,23
"12",30301,34269.0537742151,22863.25,40817,17072.3361377478,0.592513448401043,0.498185221285375,25
"13",35755,39417.6533957845,26637,47219,18813.524288703,0.575639770661446,0.477286765394183,30
"14",36468,41126.2264529058,27476,49221.5,20521.7234423246,0.596289897992761,0.498993591493844,35
"15",36730.5,39975.673564753,27203.5,48059.25,18745.4751651216,0.56780468547937,0.468922059180755,40
"16",43835,47804.2566075611,33731,56762,20586.176123919,0.525402075966693,0.430634792481282,50
"17",39842,43707.8443033745,29662,52327,21011.3299536768,0.568872044576076,0.480722174441684,60
"18",39378,43179.4158052684,29538.5,51121,20296.7123546097,0.548085225252679,0.470055279259551,75
"19",41686,45503.2308720348,31130,54850,21415.2620998819,0.569015976586864,0.470631682398695,100
"20",40959,45962.5899232566,30970,54647,22669.7197305397,0.578065870748798,0.49322111239578,150
"21",43070,47389.1248747913,32772.5,56165,21274.4911543265,0.543127466914326,0.448931927114853,200
"22",47690,52664.4058843196,36422.5,62071,23163.7080444745,0.53781715244286,0.43983612186483,300
"23",39677,44028.2832331329,29542.5,53461.75,20295.6155848794,0.602849257756383,0.460967680193495,400
"24",41118.5,45445.4452603471,31149.25,53965,21350.9158271436,0.554877974634289,0.469814207008619,600
