READING,WELLNUM,CONTENT,DESCRIPTION,FILTERSET,TIME [h],AMPLITUDE,PHASE,AMPLITUDE2,ACT TEMP [°C],ACT HUMIDITY [rH],ACT O2 [%],ACT CO2 [%],COMMENTS
R,,,,1,0.00937,119.39,0,36.71,28.3,47.92,16.4,0,test measure for referencing with gain 22 and 9
C1,A01,X1,,1,0.01254,10.28,0,0,28.8,53.58,16.3,0,
C1,A02,X2,,1,0.01459,10.72,0,0,29.2,55.54,16.22,0,
C1,A03,X3,,1,0.01668,11.9,0,0,29.6,57.36,16.12,0,
C1,A04,X4,,1,0.01867,12.56,0,0,29.9,58.6,16.06,0,
C1,A05,X5,,1,0.02066,11.73,0,0,30.4,59.5,16.04,0,
C1,A06,X6,,1,0.02266,11.79,0,0,30.8,60.08,15.94,0,
C1,A07,X7,,1,0.02462,10.42,0,0,31.2,60.48,15.86,0,
C1,A08,X8,,1,0.0266,10.41,0,0,31.6,60.67,15.79,0,
C1,B08,X16,,1,0.02861,10.58,0,0,31.9,60.99,15.76,0,
C1,B07,X15,,1,0.03057,11.62,0,0,32.4,60.87,15.68,0,
C1,B06,X14,,1,0.0326,12.41,0,0,32.8,60.61,15.65,0,
C1,B05,X13,,1,0.03463,11.69,0,0,33.1,60.29,15.58,0,
C1,B04,X12,,1,0.03663,12.44,0,0,33.4,59.77,15.57,0,
C1,B03,X11,,1,0.03862,12.52,0,0,33.6,59.38,15.49,0,
C1,B02,X10,,1,0.0407,10.83,0,0,33.9,58.85,15.48,0,
C1,B01,X9,,1,0.04275,10.11,0,0,34.2,58.53,15.4,0,
C1,C01,X17,,1,0.04474,10.39,0,0,34.3,57.93,15.38,0,
C1,C02,X18,,1,0.04672,10.77,0,0,34.5,57.63,15.32,0,
C1,C03,X19,,1,0.04872,12.89,0,0,34.6,57.36,15.31,0,
C1,C04,X20,,1,0.05078,12.6,0,0,34.6,57.17,15.29,0,
C1,C05,X21,,1,0.05292,11.52,0,0,34.7,57.04,15.26,0,
