READING,WELLNUM,CONTENT,DESCRIPTION,FILTERSET,TIME [h],AMPLITUDE,PHASE,AMPLITUDE2,ACT TEMP [°C],ACT HUMIDITY [rH],ACT O2 [%],ACT CO2 [%],COMMENTS
R,,,,1,0.0186,151.74,0,45.11,23.9,68.31,12.01,0,test measure for referencing with gain 22 and 9
C1,A01,X1,,1,0.02178,17.31,0,0,24.4,70.59,12.15,0,
C1,A02,X2,,1,0.02376,18.18,0,0,24.8,71.37,12.3,0,
C1,A03,X3,,1,0.02572,19.38,0,0,25.2,72.66,12.39,0,
C1,A04,X4,,1,0.02769,21.21,0,0,25.6,72.98,12.48,0,
C1,A05,X5,,1,0.02967,18.51,0,0,26,73.05,12.59,0,
C1,A06,X6,,1,0.03165,18.9,0,0,26.4,72.92,12.68,0,
C1,A07,X7,,1,0.03377,18.14,0,0,26.9,72.62,12.76,0,
C1,A08,X8,,1,0.03575,16.65,0,0,27.3,72.28,12.83,0,
C1,B08,X16,,1,0.03777,15.36,0,0,27.6,71.74,12.9,0,
C1,B07,X15,,1,0.03978,16.4,0,0,28,71.11,12.98,0,
C1,B06,X14,,1,0.0418,16.05,0,0,28.4,70.3,13.06,0,
C1,B05,X13,,1,0.04383,14.72,0,0,28.8,69.74,13.14,0,
C1,B04,X12,,1,0.04581,16.9,0,0,29.1,69,13.16,0,
C1,B03,X11,,1,0.0478,14.94,0,0,29.4,68.24,13.26,0,
C1,B02,X10,,1,0.04981,14.62,0,0,29.8,67.61,13.27,0,
C1,B01,X9,,1,0.05181,13.04,0,0,30,66.8,13.36,0,
C1,C01,X17,,1,0.05382,14.38,0,0,30.3,66.26,13.43,0,
C1,C02,X18,,1,0.0558,15.52,0,0,30.5,65.51,13.51,0,
C1,C03,X19,,1,0.05778,18.33,0,0,30.8,65.05,13.55,0,
C1,C04,X20,,1,0.05981,15.67,0,0,30.9,64.27,13.62,0,
C1,C05,X21,,1,0.06185,17.45,0,0,31.1,63.81,13.64,0,
C1,C06,X22,,1,0.06383,17.61,0,0,31.3,63.3,13.7,0,
C1,C07,X23,,1,0.0658,23.66,0,0,31.4,62.97,13.74,0,
C1,C08,X24,,1,0.06785,16.7,0,0,31.5,62.58,13.81,0,
C1,D08,X32,,1,0.06989,14.81,0,0,31.6,62.31,13.82,0,
C1,D07,X31,,1,0.07189,15.6,0,0,31.6,62.01,13.91,0,
C1,D06,X30,,1,0.07396,15.59,0,0,31.7,61.94,13.98,0,
C1,D05,X29,,1,0.07601,15.46,0,0,31.7,61.68,13.99,0,
C1,D04,X28,,1,0.07802,16.17,0,0,31.7,61.59,13.99,0,
C1,D03,X27,,1,0.07998,16.15,0,0,31.7,61.48,14.09,0,
