READING,WELLNUM,CONTENT,DESCRIPTION,FILTERSET,TIME [h],AMPLITUDE,PHASE,AMPLITUDE2,ACT TEMP [°C],ACT HUMIDITY [rH],ACT O2 [%],ACT CO2 [%],COMMENTS
R,,,,1,0.0041,125.73,0,38.94,29.7,33.42,16.52,0,test measure for referencing with gain 22 and 9
C1,A01,X1,,1,0.00722,13.02,0,0,30,49.89,16.49,0,
C1,A02,X2,,1,0.00926,12.01,0,0,30.3,57.86,16.4,0,
C1,A03,X3,,1,0.01139,12.51,0,0,30.8,66.36,16.31,0,
C1,A04,X4,,1,0.01338,12.43,0,0,31.1,71.38,16.14,0,
C1,A05,X5,,1,0.01537,12.89,0,0,31.5,78.07,16.11,0,
C1,A06,X6,,1,0.01736,13,0,0,31.8,81.32,15.94,0,
C1,A07,X7,,1,0.01932,13.32,0,0,32.1,84.36,15.85,0,
C1,A08,X8,,1,0.02129,11.5,0,0,32.4,86,15.74,0,
C1,B08,X16,,1,0.02328,12.48,0,0,32.6,85.61,15.66,0,
C1,B07,X15,,1,0.02527,13.49,0,0,32.9,84.33,15.55,0,
C1,B06,X14,,1,0.0273,11.83,0,0,33.1,84.63,15.46,0,
C1,B05,X13,,1,0.02928,12.28,0,0,33.2,85.76,15.37,0,
C1,B04,X12,,1,0.03134,12.4,0,0,33.3,85.84,15.29,0,
C1,B03,X11,,1,0.03336,12.42,0,0,33.4,84.52,15.21,0,
C1,B02,X10,,1,0.03537,13.02,0,0,33.4,84.54,15.18,0,
C1,B01,X9,,1,0.03751,13.1,0,0,33.4,85.56,15.1,0,
C1,C01,X17,,1,0.03953,13.69,0,0,33.4,85.76,15.02,0,
C1,C02,X18,,1,0.04156,13.36,0,0,33.4,85.03,15.01,0,
C1,C03,X19,,1,0.04356,13.33,0,0,33.4,84.46,14.93,0,
C1,C04,X20,,1,0.04556,14.31,0,0,33.3,84.32,14.91,0,
C1,C05,X21,,1,0.04753,13.8,0,0,33.3,83.84,14.83,0,
C1,C06,X22,,1,0.04965,13.56,0,0,33.1,83.08,14.83,0,
C1,C07,X23,,1,0.05166,13.81,0,0,33.1,81.52,14.81,0,
C1,C08,X24,,1,0.05363,14.32,0,0,32.9,80.49,14.82,0,
