READING,WELLNUM,CONTENT,DESCRIPTION,FILTERSET,TIME [h],AMPLITUDE,PHASE,AMPLITUDE2,ACT TEMP [°C],ACT HUMIDITY [rH],ACT O2 [%],ACT CO2 [%],COMMENTS
R,,,,1,0.01769,139.69,0,40.51,24.7,65.17,15.97,0,test measure for referencing with gain 22 and 9
C1,A01,X1,,1,0.0208,12.84,0,0,25.3,66.92,15.95,0,
C1,A02,X2,,1,0.02277,12.4,0,0,25.6,68.03,15.87,0,
C1,A03,X3,,1,0.02477,12.31,0,0,26,68.55,15.87,0,
C1,A04,X4,,1,0.02676,12.29,0,0,26.4,69.01,15.86,0,
C1,A05,X5,,1,0.02872,11.31,0,0,26.8,69.14,15.84,0,
C1,A06,X6,,1,0.03084,10.87,0,0,27.3,69.08,15.85,0,
C1,A07,X7,,1,0.03283,10.64,0,0,27.6,69.07,15.77,0,
C1,A08,X8,,1,0.0348,10.93,0,0,28.1,68.83,15.77,0,
C1,B08,X16,,1,0.03689,11.44,0,0,28.4,68.42,15.7,0,
C1,B07,X15,,1,0.03889,11.83,0,0,28.8,67.85,15.75,0,
C1,B06,X14,,1,0.04102,16.36,0,0,29.2,67.43,15.68,0,
C1,B05,X13,,1,0.04299,11.75,0,0,29.5,66.61,15.67,0,
C1,B04,X12,,1,0.04501,11.66,0,0,29.9,66.09,15.66,0,
C1,B03,X11,,1,0.04706,12.1,0,0,30.2,65.44,15.65,0,
C1,B02,X10,,1,0.04908,11.44,0,0,30.4,64.79,15.6,0,
C1,B01,X9,,1,0.05107,12.42,0,0,30.7,64.13,15.59,0,
C1,C01,X17,,1,0.05323,12.95,0,0,30.9,63.48,15.6,0,
C1,C02,X18,,1,0.0552,13.71,0,0,31.1,62.97,15.58,0,
C1,C03,X19,,1,0.05719,14.17,0,0,31.3,62.48,15.57,0,
C1,C04,X20,,1,0.05918,11.29,0,0,31.4,62.12,15.56,0,
C1,C05,X21,,1,0.06115,12.02,0,0,31.6,61.85,15.5,0,
C1,C06,X22,,1,0.06315,12.7,0,0,31.7,61.47,15.56,0,
C1,C07,X23,,1,0.06512,11.39,0,0,31.8,61.21,15.51,0,
C1,C08,X24,,1,0.0671,12.1,0,0,31.8,60.82,15.5,0,
C1,D08,X32,,1,0.0691,11.74,0,0,31.8,60.62,15.5,0,
C1,D07,X31,,1,0.0711,11.74,0,0,31.8,60.5,15.5,0,
C1,D06,X30,,1,0.0731,11.83,0,0,31.8,60.43,15.48,0,
C1,D05,X29,,1,0.07513,12.79,0,0,31.8,60.43,15.49,0,
C1,D04,X28,,1,0.07717,14.28,0,0,31.8,60.49,15.51,0,
C1,D03,X27,,1,0.07917,12.19,0,0,31.7,60.56,15.48,0,
C1,D02,X26,,1,0.08115,11.86,0,0,31.6,60.69,15.49,0,
C1,D01,X25,,1,0.08315,11.56,0,0,31.6,60.89,15.48,0,
C1,E01,X33,,1,0.08519,11.45,0,0,31.4,60.94,15.48,0,
C1,E02,X34,,1,0.08722,11.83,0,0,31.4,61.28,15.49,0,
C1,E03,X35,,1,0.08919,11.93,0,0,31.2,61.47,15.48,0,
C1,E04,X36,,1,0.0913,11.98,0,0,31.1,61.79,15.47,0,
C1,E05,X37,,1,0.09329,12.44,0,0,31,62.05,15.47,0,
C1,E06,X38,,1,0.09529,11.86,0,0,30.9,62.45,15.48,0,
C1,E07,X39,,1,0.09737,11.82,0,0,30.8,62.79,15.41,0,
C1,E08,X40,,1,0.09937,11.36,0,0,30.7,63.21,15.47,0,
C1,F08,X48,,1,0.1014,11.05,0,0,30.6,63.63,15.41,0,
C1,F07,X47,,1,0.10345,11.42,0,0,30.4,63.86,15.4,0,
C1,F06,X46,,1,0.10543,11.6,0,0,30.4,64.27,15.47,0,
C1,F05,X45,,1,0.1074,13.2,0,0,30.3,64.58,15.4,0,
C1,F04,X44,,1,0.10938,13.42,0,0,30.2,64.97,15.41,0,
C1,F03,X43,,1,0.11143,13.27,0,0,30.1,65.36,15.4,0,
C1,F02,X42,,1,0.11344,11.8,0,0,30.1,65.68,15.39,0,
C1,F01,X41,,1,0.1154,11.6,0,0,29.9,66.21,15.39,0,
R,,,,2,0.12087,138.39,0,40.39,29.9,67.04,15.4,0,test measure for referencing with gain 22 and 9
C1,A01,X1,,2,0.12622,53.68,0,0,29.8,67.89,15.37,0,
C1,A02,X2,,2,0.12825,51.92,0,0,29.8,68.22,15.37,0,
C1,A03,X3,,2,0.13025,51.33,0,0,29.7,68.62,15.37,0,
C1,A04,X4,,2,0.13227,51.68,0,0,29.7,68.87,15.37,0,
C1,A05,X5,,2,0.13428,47.8,0,0,29.7,69.19,15.38,0,
C1,A06,X6,,2,0.13633,45.89,0,0,29.8,69.39,15.31,0,
C1,A07,X7,,2,0.13837,44.9,0,0,29.7,69.65,15.37,0,
C1,A08,X8,,2,0.14037,46.43,0,0,29.8,69.79,15.31,0,
C1,B08,X16,,2,0.14239,48.3,0,0,29.8,70.03,15.31,0,
C1,B07,X15,,2,0.14436,49.8,0,0,29.8,70.23,15.31,0,
C1,B06,X14,,2,0.14636,70.21,0,0,29.8,70.42,15.31,0,
C1,B05,X13,,2,0.14837,49.49,0,0,29.8,70.5,15.29,0,
C1,B04,X12,,2,0.15045,48.92,0,0,29.8,70.76,15.31,0,
C1,B03,X11,,2,0.15246,50.86,0,0,29.9,70.82,15.3,0,
C1,B02,X10,,2,0.15447,48.32,0,0,29.9,70.95,15.29,0,
C1,B01,X9,,2,0.15647,52.24,0,0,29.9,71.08,15.31,0,
C1,C01,X17,,2,0.1585,54.25,0,0,29.9,71.2,15.3,0,
C1,C02,X18,,2,0.16046,57.6,0,0,29.9,71.21,15.3,0,
C1,C03,X19,,2,0.16247,59.75,0,0,30,71.33,15.29,0,
C1,C04,X20,,2,0.16442,47.48,0,0,30.1,71.41,15.29,0,
C1,C05,X21,,2,0.16644,50.74,0,0,30.1,71.61,15.29,0,
C1,C06,X22,,2,0.16841,53.53,0,0,30.1,71.67,15.29,0,
C1,C07,X23,,2,0.17044,47.34,0,0,30.1,71.75,15.28,0,
C1,C08,X24,,2,0.17241,50.38,0,0,30.1,71.79,15.28,0,
C1,D08,X32,,2,0.17442,49.16,0,0,30.1,71.92,15.29,0,
C1,D07,X31,,2,0.17642,49.29,0,0,30.2,71.93,15.29,0,
C1,D06,X30,,2,0.17846,49.65,0,0,30.2,72.09,15.28,0,
C1,D05,X29,,2,0.18043,53.91,0,0,30.2,72.13,15.27,0,
C1,D04,X28,,2,0.18243,59.72,0,0,30.2,72.19,15.28,0,
C1,D03,X27,,2,0.18443,51.1,0,0,30.2,72.32,15.28,0,
C1,D02,X26,,2,0.18641,50.03,0,0,30.3,72.46,15.29,0,
C1,D01,X25,,2,0.18839,48.81,0,0,30.3,72.52,15.22,0,
C1,E01,X33,,2,0.19043,48.01,0,0,30.3,72.63,15.24,0,
C1,E02,X34,,2,0.19245,49.49,0,0,30.3,72.77,15.21,0,
C1,E03,X35,,2,0.19448,50.51,0,0,30.3,72.83,15.22,0,
C1,E04,X36,,2,0.19648,50.64,0,0,30.3,72.96,15.2,0,
C1,E05,X37,,2,0.19848,52.68,0,0,30.2,73.09,15.21,0,
C1,E06,X38,,2,0.20046,50.01,0,0,30.2,73.22,15.21,0,
C1,E07,X39,,2,0.20246,49.77,0,0,30.2,73.41,15.2,0,
C1,E08,X40,,2,0.20442,47.97,0,0,30.2,73.54,15.22,0,
C1,F08,X48,,2,0.20644,46.28,0,0,30.2,73.8,15.21,0,
C1,F07,X47,,2,0.20842,47.69,0,0,30.1,73.93,15.21,0,
C1,F06,X46,,2,0.21044,48.95,0,0,30.2,74.13,15.2,0,
C1,F05,X45,,2,0.21248,55.75,0,0,30.1,74.26,15.2,0,
C1,F04,X44,,2,0.2145,56.34,0,0,30.1,74.52,15.21,0,
C1,F03,X43,,2,0.21654,55.9,0,0,30.1,74.78,15.2,0,
C1,F02,X42,,2,0.2185,49.7,0,0,30.1,74.9,15.19,0,
C1,F01,X41,,2,0.22046,49.03,0,0,30.1,75.18,15.21,0,
R,,,,3,0.22768,135.66,0,39.56,30.1,75.75,15.18,0,test measure for referencing with gain 22 and 9
C1,A01,X1,,3,0.23488,174.65,0,0,30,76.6,15.18,0,
C1,A02,X2,,3,0.23702,169.07,0,0,30,76.74,15.12,0,
C1,A03,X3,,3,0.23901,165.98,0,0,30,76.93,15.18,0,
C1,A04,X4,,3,0.24103,168.06,0,0,30,77.13,15.18,0,
C1,A05,X5,,3,0.24304,155.63,0,0,30,77.31,15.18,0,
C1,A06,X6,,3,0.24501,148.95,0,0,30,77.45,15.18,0,
C1,A07,X7,,3,0.24697,146,0,0,30,77.64,15.18,0,
C1,A08,X8,,3,0.24895,150.46,0,0,30,77.77,15.18,0,
C1,B08,X16,,3,0.25095,156.99,0,0,30,78.03,15.18,0,
C1,B07,X15,,3,0.25293,162.16,0,0,30,78.11,15.13,0,
C1,B06,X14,,3,0.25493,229.67,0,0,30,78.3,15.12,0,
C1,B05,X13,,3,0.25688,161.21,0,0,30,78.43,15.12,0,
C1,B04,X12,,3,0.2589,159.38,0,0,30,78.6,15.11,0,
C1,B03,X11,,3,0.26088,165.17,0,0,30,78.75,15.11,0,
C1,B02,X10,,3,0.26285,157.24,0,0,30,78.82,15.12,0,
C1,B01,X9,,3,0.26483,170.15,0,0,30.1,79.01,15.12,0,
C1,C01,X17,,3,0.26688,176.76,0,0,30.1,79.2,15.11,0,
C1,C02,X18,,3,0.26885,188,0,0,30.1,79.33,15.11,0,
C1,C03,X19,,3,0.27082,194.76,0,0,30.1,79.53,15.11,0,
C1,C04,X20,,3,0.2728,154.44,0,0,30.1,79.6,15.08,0,
C1,C05,X21,,3,0.2748,164.83,0,0,30.1,79.79,15.09,0,
C1,C06,X22,,3,0.27678,173.92,0,0,30.1,79.94,15.1,0,
C1,C07,X23,,3,0.27874,153.25,0,0,30.1,80.06,15.1,0,
C1,C08,X24,,3,0.28073,163.63,0,0,30.1,80.25,15.11,0,
C1,D08,X32,,3,0.28274,159.61,0,0,30.1,80.37,15.09,0,
C1,D07,X31,,3,0.28473,159.61,0,0,30.1,80.52,15.1,0,
C1,D06,X30,,3,0.2867,159.4,0,0,30.1,80.77,15.1,0,
C1,D05,X29,,3,0.2887,173.22,0,0,30.1,80.9,15.1,0,
C1,D04,X28,,3,0.29067,193.84,0,0,30.1,81.04,15.03,0,
C1,D03,X27,,3,0.29269,165.63,0,0,30.1,81.23,15.09,0,
C1,D02,X26,,3,0.29471,160.81,0,0,30.1,81.42,15.09,0,
C1,D01,X25,,3,0.29669,157.68,0,0,30.1,81.55,15.09,0,
C1,E01,X33,,3,0.29869,154.77,0,0,30,81.74,15.09,0,
C1,E02,X34,,3,0.30072,160.13,0,0,30,81.87,15.03,0,
C1,E03,X35,,3,0.30272,162.69,0,0,30,82.06,15.03,0,
C1,E04,X36,,3,0.30473,162.28,0,0,30,82.19,15.03,0,
C1,E05,X37,,3,0.30673,169.99,0,0,30,82.38,15.03,0,
C1,E06,X38,,3,0.30872,161.51,0,0,30,82.51,15.03,0,
C1,E07,X39,,3,0.31068,162.12,0,0,30,82.76,15.01,0,
C1,E08,X40,,3,0.31265,153.59,0,0,30,82.9,15.09,0,
C1,F08,X48,,3,0.31467,150.69,0,0,30,83.03,15.02,0,
C1,F07,X47,,3,0.31661,154.5,0,0,30,83.16,15.01,0,
C1,F06,X46,,3,0.31864,157.83,0,0,30,83.35,15.02,0,
C1,F05,X45,,3,0.32065,180.69,0,0,30,83.55,15.01,0,
C1,F04,X44,,3,0.32261,182.29,0,0,30,83.68,15.01,0,
C1,F03,X43,,3,0.32459,180.59,0,0,30,83.94,15.01,0,
C1,F02,X42,,3,0.32658,159.58,0,0,30,84.07,15,0,
C1,F01,X41,,3,0.32858,157.89,0,0,30,84.26,15.02,0,
R,,,,1,0.33835,134.44,0,39.73,30.1,85.04,14.99,0,test measure for referencing with gain 22 and 9
C2,A01,X1,,1,0.3415,12.04,0,0,30.1,85.24,15.01,0,
C2,A02,X2,,1,0.34348,11.65,0,0,30.1,85.06,15,0,
C2,A03,X3,,1,0.34544,11.42,0,0,30.1,84.6,15,0,
C2,A04,X4,,1,0.34744,11.6,0,0,30.1,84.33,14.94,0,
C2,A05,X5,,1,0.34946,10.65,0,0,30.1,84.42,15,0,
C2,A06,X6,,1,0.35144,10.22,0,0,30.1,84.59,14.94,0,
C2,A07,X7,,1,0.35343,10.03,0,0,30.1,84.91,14.99,0,
C2,A08,X8,,1,0.35539,10.34,0,0,30.1,85.11,14.93,0,
C2,B08,X16,,1,0.35739,10.83,0,0,30.1,85.23,14.92,0,
C2,B07,X15,,1,0.35943,11.21,0,0,30.1,85.04,15,0,
C2,B06,X14,,1,0.36145,16.02,0,0,30.1,84.59,14.92,0,
C2,B05,X13,,1,0.36351,11.07,0,0,30,84.59,14.92,0,
C2,B04,X12,,1,0.36552,10.95,0,0,30,84.78,14.92,0,
C2,B03,X11,,1,0.36758,11.34,0,0,30.1,85.08,14.93,0,
C2,B02,X10,,1,0.36962,10.85,0,0,30,85.37,14.92,0,
C2,B01,X9,,1,0.37161,11.71,0,0,30,85.28,14.92,0,
C2,C01,X17,,1,0.37365,12.18,0,0,30,84.84,14.94,0,
C2,C02,X18,,1,0.37566,13.04,0,0,30,84.58,14.92,0,
C2,C03,X19,,1,0.37768,13.52,0,0,30,84.71,14.93,0,
C2,C04,X20,,1,0.37969,10.6,0,0,30,85.08,14.93,0,
C2,C05,X21,,1,0.38168,11.38,0,0,30,85.42,14.92,0,
C2,C06,X22,,1,0.38365,12,0,0,30,85.42,14.92,0,
C2,C07,X23,,1,0.38563,10.64,0,0,30,85.1,14.92,0,
C2,C08,X24,,1,0.38777,11.33,0,0,30,84.78,14.92,0,
C2,D08,X32,,1,0.38978,11.03,0,0,30,84.58,14.92,0,
C2,D07,X31,,1,0.39176,11.01,0,0,30,84.88,14.91,0,
C2,D06,X30,,1,0.39378,10.92,0,0,30,85.24,14.91,0,
C2,D05,X29,,1,0.39575,11.87,0,0,30,85.53,14.91,0,
C2,D04,X28,,1,0.39774,13.26,0,0,30,85.37,14.92,0,
C2,D03,X27,,1,0.39973,11.31,0,0,30,85,14.92,0,
C2,D02,X26,,1,0.40174,11.04,0,0,30,84.59,14.91,0,
C2,D01,X25,,1,0.40379,10.85,0,0,30,84.66,14.92,0,
C2,E01,X33,,1,0.40594,10.63,0,0,30,85.1,14.91,0,
C2,E02,X34,,1,0.40792,11.01,0,0,30.1,85.65,14.91,0,
C2,E03,X35,,1,0.40989,11.19,0,0,30,85.57,14.9,0,
C2,E04,X36,,1,0.41193,11.22,0,0,30.1,85.15,14.91,0,
C2,E05,X37,,1,0.4139,11.71,0,0,30,84.8,14.9,0,
C2,E06,X38,,1,0.41587,11.12,0,0,30,84.53,14.91,0,
C2,E07,X39,,1,0.41787,11.18,0,0,30,84.8,14.91,0,
C2,E08,X40,,1,0.41985,10.55,0,0,30.1,85.18,14.91,0,
C2,F08,X48,,1,0.42187,10.41,0,0,30.1,85.62,14.9,0,
C2,F07,X47,,1,0.42386,10.66,0,0,30.1,85.44,14.84,0,
C2,F06,X46,,1,0.42586,10.93,0,0,30.1,85.04,14.84,0,
C2,F05,X45,,1,0.42784,12.47,0,0,30.1,84.72,14.84,0,
C2,F04,X44,,1,0.42985,12.63,0,0,30,84.65,14.84,0,
C2,F03,X43,,1,0.43183,12.42,0,0,30.1,84.97,14.9,0,
C2,F02,X42,,1,0.43384,11.02,0,0,30.1,85.56,14.84,0,
C2,F01,X41,,1,0.43586,10.92,0,0,30,85.56,14.84,0,
R,,,,2,0.44135,132.66,0,38.97,30,84.65,14.84,0,test measure for referencing with gain 22 and 9
C2,A01,X1,,2,0.44678,51.36,0,0,30,85.57,14.82,0,
C2,A02,X2,,2,0.44876,49.69,0,0,30,85.78,14.84,0,
C2,A03,X3,,2,0.45077,48.43,0,0,30,85.44,14.82,0,
C2,A04,X4,,2,0.4528,49.42,0,0,30,85.13,14.83,0,
C2,A05,X5,,2,0.45478,45.58,0,0,30,84.85,14.84,0,
C2,A06,X6,,2,0.45677,43.74,0,0,30,84.8,14.83,0,
C2,A07,X7,,2,0.45879,42.98,0,0,30,85.11,14.83,0,
C2,A08,X8,,2,0.46075,44.16,0,0,30,85.59,14.83,0,
C2,B08,X16,,2,0.46279,46.21,0,0,30,85.55,14.83,0,
C2,B07,X15,,2,0.46485,47.88,0,0,30,85.24,14.82,0,
C2,B06,X14,,2,0.46684,68.28,0,0,30,84.85,14.82,0,
C2,B05,X13,,2,0.46883,47.28,0,0,30,84.71,14.83,0,
C2,B04,X12,,2,0.47085,46.76,0,0,30,84.91,14.82,0,
C2,B03,X11,,2,0.47283,48.46,0,0,30,85.49,14.82,0,
C2,B02,X10,,2,0.47485,46.24,0,0,30,85.82,14.82,0,
C2,B01,X9,,2,0.47686,49.89,0,0,30.1,85.7,14.83,0,
C2,C01,X17,,2,0.47891,51.78,0,0,30,85.23,14.81,0,
C2,C02,X18,,2,0.48093,55.27,0,0,30,84.98,14.81,0,
C2,C03,X19,,2,0.4829,57.68,0,0,30,84.59,14.82,0,
C2,C04,X20,,2,0.48493,45.22,0,0,30.1,84.82,14.81,0,
C2,C05,X21,,2,0.48691,48.5,0,0,30.1,85.43,14.8,0,
C2,C06,X22,,2,0.48888,51.11,0,0,30.1,85.82,14.82,0,
C2,C07,X23,,2,0.49088,45.07,0,0,30.1,85.63,14.81,0,
C2,C08,X24,,2,0.49284,48.22,0,0,30.1,85.37,14.75,0,
C2,D08,X32,,2,0.49486,46.93,0,0,30.1,84.97,14.75,0,
C2,D07,X31,,2,0.49683,47.02,0,0,30,84.72,14.75,0,
C2,D06,X30,,2,0.4988,46.49,0,0,30,84.72,14.8,0,
C2,D05,X29,,2,0.50078,50.47,0,0,30,85.17,14.82,0,
C2,D04,X28,,2,0.5028,56.52,0,0,30.1,85.84,14.81,0,
C2,D03,X27,,2,0.5048,48.2,0,0,30,85.76,14.8,0,
C2,D02,X26,,2,0.50689,47,0,0,30,85.44,14.75,0,
C2,D01,X25,,2,0.50889,46.31,0,0,30,85.18,14.75,0,
C2,E01,X33,,2,0.51091,45.38,0,0,30,84.79,14.74,0,
C2,E02,X34,,2,0.51288,46.59,0,0,30,84.64,14.81,0,
C2,E03,X35,,2,0.51489,47.49,0,0,30,85.17,14.81,0,
C2,E04,X36,,2,0.51686,47.74,0,0,30,85.82,14.75,0,
C2,E05,X37,,2,0.51884,50.07,0,0,30,85.84,14.75,0,
C2,E06,X38,,2,0.52084,47.49,0,0,30,85.56,14.74,0,
C2,E07,X39,,2,0.52281,47.63,0,0,30,85.36,14.73,0,
C2,E08,X40,,2,0.52481,45.18,0,0,29.9,85.03,14.73,0,
C2,F08,X48,,2,0.52683,44.34,0,0,29.9,84.78,14.75,0,
C2,F07,X47,,2,0.52883,45.36,0,0,29.9,84.66,14.75,0,
C2,F06,X46,,2,0.53086,46.47,0,0,29.9,85.04,14.75,0,
C2,F05,X45,,2,0.53286,53.33,0,0,30,85.82,14.74,0,
C2,F04,X44,,2,0.53484,53.69,0,0,30,85.95,14.75,0,
C2,F03,X43,,2,0.53684,52.71,0,0,30,85.63,14.75,0,
C2,F02,X42,,2,0.53882,46.75,0,0,30,85.44,14.73,0,
C2,F01,X41,,2,0.54085,46.45,0,0,30,85.17,14.72,0,
R,,,,3,0.54808,131.7,0,38.9,30.1,85.17,14.74,0,test measure for referencing with gain 22 and 9
C2,A01,X1,,3,0.55528,167.1,0,0,30.1,85.36,14.72,0,
C2,A02,X2,,3,0.55731,162.89,0,0,30,85.11,14.73,0,
C2,A03,X3,,3,0.5593,157.86,0,0,30.1,84.72,14.72,0,
C2,A04,X4,,3,0.5613,161.73,0,0,30.1,84.71,14.72,0,
C2,A05,X5,,3,0.56329,149.06,0,0,30.1,85.49,14.73,0,
C2,A06,X6,,3,0.56526,142.95,0,0,30.1,85.76,14.73,0,
C2,A07,X7,,3,0.56739,140.91,0,0,30.1,85.56,14.72,0,
C2,A08,X8,,3,0.56939,144.4,0,0,30.1,85.3,14.73,0,
C2,B08,X16,,3,0.57138,152.01,0,0,30,85.03,14.74,0,
C2,B07,X15,,3,0.57334,156.79,0,0,30,84.78,14.72,0,
C2,B06,X14,,3,0.57533,222.7,0,0,30.1,84.72,14.72,0,
C2,B05,X13,,3,0.57738,154.69,0,0,30,85.3,14.71,0,
C2,B04,X12,,3,0.57935,152.86,0,0,30,85.88,14.72,0,
C2,B03,X11,,3,0.58138,158.76,0,0,30,85.75,14.72,0,
C2,B02,X10,,3,0.58338,151.47,0,0,30,85.44,14.71,0,
C2,B01,X9,,3,0.58537,163.26,0,0,30,85.3,14.73,0,
C2,C01,X17,,3,0.58735,169.66,0,0,30,85,14.71,0,
C2,C02,X18,,3,0.58933,180.96,0,0,30,84.71,14.72,0,
C2,C03,X19,,3,0.59132,189.48,0,0,30,84.97,14.72,0,
C2,C04,X20,,3,0.5933,148.41,0,0,30,85.81,14.71,0,
C2,C05,X21,,3,0.5953,159.02,0,0,30,86.01,14.66,0,
C2,C06,X22,,3,0.59729,167.76,0,0,30,85.81,14.72,0,
C2,C07,X23,,3,0.59925,148.59,0,0,30,85.55,14.66,0,
C2,C08,X24,,3,0.60124,158.1,0,0,30,85.17,14.72,0,
C2,D08,X32,,3,0.60326,153.8,0,0,30,85.04,14.67,0,
C2,D07,X31,,3,0.60524,154.2,0,0,30,84.8,14.71,0,
C2,D06,X30,,3,0.60721,152.38,0,0,30,84.72,14.71,0,
C2,D05,X29,,3,0.6092,165.34,0,0,30,85.32,14.65,0,
C2,D04,X28,,3,0.6112,184.59,0,0,30,85.89,14.71,0,
C2,D03,X27,,3,0.61316,157.64,0,0,30,85.96,14.65,0,
C2,D02,X26,,3,0.61512,153.81,0,0,30,85.69,14.65,0,
C2,D01,X25,,3,0.6171,151.33,0,0,30,85.5,14.65,0,
C2,E01,X33,,3,0.61914,148.41,0,0,30,85.17,14.66,0,
C2,E02,X34,,3,0.62111,152.95,0,0,30,84.98,14.66,0,
C2,E03,X35,,3,0.62308,155.64,0,0,30,84.74,14.65,0,
C2,E04,X36,,3,0.62508,156.16,0,0,30,84.84,14.65,0,
C2,E05,X37,,3,0.62706,163.82,0,0,30,85.68,14.65,0,
C2,E06,X38,,3,0.62906,156.01,0,0,30,85.89,14.71,0,
C2,E07,X39,,3,0.63107,156.24,0,0,30,85.94,14.71,0,
C2,E08,X40,,3,0.63307,148.12,0,0,30.1,85.63,14.65,0,
C2,F08,X48,,3,0.6351,145.22,0,0,30,85.55,14.71,0,
C2,F07,X47,,3,0.63707,148.45,0,0,30,85.31,14.65,0,
C2,F06,X46,,3,0.63907,152.48,0,0,30,85.18,14.65,0,
C2,F05,X45,,3,0.64106,174.85,0,0,30,85.04,14.65,0,
C2,F04,X44,,3,0.64306,176.07,0,0,30,84.98,14.64,0,
C2,F03,X43,,3,0.64506,172.19,0,0,30,84.85,14.64,0,
C2,F02,X42,,3,0.64706,152.99,0,0,30,84.72,14.66,0,
C2,F01,X41,,3,0.64902,152.86,0,0,30,85.04,14.65,0,
R,,,,1,0.65798,131.06,0,39,30,85.68,14.64,0,test measure for referencing with gain 22 and 9
C3,A01,X1,,1,0.66109,11.65,0,0,30,85.49,14.64,0,
C3,A02,X2,,1,0.66312,11.32,0,0,30,85.3,14.63,0,
C3,A03,X3,,1,0.66524,10.95,0,0,30,85.1,14.63,0,
C3,A04,X4,,1,0.66724,11.25,0,0,30,84.98,14.65,0,
C3,A05,X5,,1,0.66921,10.35,0,0,30,84.91,14.65,0,
C3,A06,X6,,1,0.67118,9.91,0,0,30,84.78,14.64,0,
C3,A07,X7,,1,0.67317,9.77,0,0,30,84.72,14.65,0,
C3,A08,X8,,1,0.67518,10.02,0,0,30,85.16,14.65,0,
C3,B08,X16,,1,0.67731,10.52,0,0,30,85.95,14.64,0,
C3,B07,X15,,1,0.6793,10.84,0,0,30,86.02,14.65,0,
C3,B06,X14,,1,0.68128,15.56,0,0,30,85.88,14.63,0,
C3,B05,X13,,1,0.68329,10.71,0,0,30,85.76,14.64,0,
C3,B04,X12,,1,0.68539,10.59,0,0,30,85.62,14.63,0,
C3,B03,X11,,1,0.68736,11.03,0,0,30,85.44,14.64,0,
C3,B02,X10,,1,0.68934,10.52,0,0,30,85.3,14.63,0,
C3,B01,X9,,1,0.69132,11.33,0,0,30,85.24,14.63,0,
C3,C01,X17,,1,0.69337,11.77,0,0,30,85.1,14.64,0,
