READING,WELLNUM,CONTENT,DESCRIPTION,FILTERSET,TIME [h],AMPLITUDE,PHASE,AMPLITUDE2,ACT TEMP [°C],ACT HUMIDITY [rH],ACT O2 [%],ACT CO2 [%],COMMENTS
R,,,,1,0.01852,131.08,0,39.38,28.7,57.63,13.69,0,test measure for referencing with gain 22 and 9
C1,A01,X1,,1,0.02171,12.12,0,0,29.3,59.21,13.62,0,
C1,A02,X2,,1,0.02373,12.96,0,0,29.7,60.07,13.61,0,
C1,A03,X3,,1,0.02574,14.03,0,0,30.1,60.52,13.53,0,
C1,A04,X4,,1,0.02771,12.68,0,0,30.4,61.25,13.52,0,
C1,A05,X5,,1,0.02969,12.5,0,0,30.8,61.42,13.52,0,
C1,A06,X6,,1,0.03165,13.1,0,0,31,61.49,13.44,0,
C1,A07,X7,,1,0.03376,10.57,0,0,31.4,61.5,13.43,0,
C1,A08,X8,,1,0.03575,10.87,0,0,31.6,61.39,13.41,0,
C1,B08,X16,,1,0.03783,12.01,0,0,31.9,61.36,13.36,0,
C1,B07,X15,,1,0.03984,11.52,0,0,32.1,61.11,13.35,0,
C1,B06,X14,,1,0.04182,13.28,0,0,32.3,60.98,13.33,0,
C1,B05,X13,,1,0.04383,13.21,0,0,32.4,60.77,13.31,0,
C1,B04,X12,,1,0.0458,13.02,0,0,32.6,60.65,13.25,0,
C1,B03,X11,,1,0.04776,16.55,0,0,32.6,60.58,13.24,0,
C1,B02,X10,,1,0.04976,10.97,0,0,32.7,60.58,13.24,0,
C1,B01,X9,,1,0.05185,11.55,0,0,32.8,60.59,13.24,0,
C1,C01,X17,,1,0.05387,10.94,0,0,32.8,60.57,13.23,0,
C1,C02,X18,,1,0.05582,12.96,0,0,32.8,60.77,13.17,0,
C1,C03,X19,,1,0.05781,13.98,0,0,32.7,60.83,13.16,0,
C1,C04,X20,,1,0.05979,14.87,0,0,32.7,61.03,13.16,0,
C1,C05,X21,,1,0.06176,13.41,0,0,32.6,61.23,13.16,0,
C1,C06,X22,,1,0.06373,13.74,0,0,32.6,61.49,13.15,0,
C1,C07,X23,,1,0.06572,11.59,0,0,32.4,61.75,13.07,0,
C1,C08,X24,,1,0.06771,11.44,0,0,32.4,62.07,13.14,0,
C1,D08,X32,,1,0.0697,14.45,0,0,32.3,62.39,13.13,0,
C1,D07,X31,,1,0.07173,13.97,0,0,32.1,62.75,13.07,0,
C1,D06,X30,,1,0.07376,14.12,0,0,32.1,63.13,13.07,0,
C1,D05,X29,,1,0.07577,13.41,0,0,31.9,63.38,13.07,0,
C1,D04,X28,,1,0.07774,18.15,0,0,31.8,63.84,13.05,0,
C1,D03,X27,,1,0.07972,14.69,0,0,31.7,64.16,13.06,0,
C1,D02,X26,,1,0.08169,11.62,0,0,31.6,64.48,13.04,0,
