READING,WELLNUM,CONTENT,DESCRIPTION,FILTERSET,TIME [h],AMPLITUDE,PHASE,AMPLITUDE2,ACT TEMP [°C],ACT HUMIDITY [rH],ACT O2 [%],ACT CO2 [%],COMMENTS
R,,,,1,0.00769,111.37,0,36.51,27.8,59.69,16.15,0,test measure for referencing with gain 22 and 9
C1,A01,X1,,1,0.01086,8.35,0,0,28.3,68.46,16.06,0,
C1,A02,X2,,1,0.01287,7.84,0,0,28.7,74.43,16.04,0,
C1,A03,X3,,1,0.0149,8.33,0,0,29,77.56,15.96,0,
C1,A04,X4,,1,0.01695,8.89,0,0,29.4,80.68,15.94,0,
C1,A05,X5,,1,0.01892,8.61,0,0,29.8,82.49,15.87,0,
C1,A06,X6,,1,0.02092,7.93,0,0,30.1,84.32,15.77,0,
C1,A07,X7,,1,0.0229,8.26,0,0,30.4,85.43,15.69,0,
C1,A08,X8,,1,0.0249,7.78,0,0,30.7,85.75,15.65,0,
C1,B08,X16,,1,0.02699,10.62,0,0,30.9,85.16,15.59,0,
C1,B07,X15,,1,0.02896,8.84,0,0,31.2,84.39,15.55,0,
C1,B06,X14,,1,0.03094,8.42,0,0,31.4,84.65,15.46,0,
C1,B05,X13,,1,0.03292,10.03,0,0,31.6,85.12,15.46,0,
C1,B04,X12,,1,0.03494,8.52,0,0,31.8,85.44,15.37,0,
C1,B03,X11,,1,0.03695,9.53,0,0,32,85,15.28,0,
C1,B02,X10,,1,0.03895,8.22,0,0,32.1,84.32,15.27,0,
C1,B01,X9,,1,0.04097,8.9,0,0,32.1,84.28,15.19,0,
C1,C01,X17,,1,0.04309,8.61,0,0,32.3,84.51,15.18,0,
C1,C02,X18,,1,0.04512,8.67,0,0,32.3,84.84,15.11,0,
C1,C03,X19,,1,0.04709,8.69,0,0,32.3,85.16,15.11,0,
C1,C04,X20,,1,0.04912,8.66,0,0,32.3,85.23,15.09,0,
C1,C05,X21,,1,0.05111,8.87,0,0,32.3,84.77,15.03,0,
C1,C06,X22,,1,0.05309,8.87,0,0,32.3,84.34,15,0,
C1,C07,X23,,1,0.05507,9.11,0,0,32.2,84.44,14.99,0,
C1,C08,X24,,1,0.05704,8.79,0,0,32.1,84.76,14.92,0,
C1,D08,X32,,1,0.05912,8.54,0,0,32.1,85.28,14.9,0,
C1,D07,X31,,1,0.06112,10.44,0,0,31.9,85.34,14.9,0,
C1,D06,X30,,1,0.0631,9.24,0,0,31.9,84.78,14.83,0,
C1,D05,X29,,1,0.06507,9.17,0,0,31.8,84.19,14.82,0,
C1,D04,X28,,1,0.06709,9.19,0,0,31.7,84.03,14.81,0,
C1,D03,X27,,1,0.06911,9.57,0,0,31.6,83.86,14.75,0,
C1,D02,X26,,1,0.0711,8.67,0,0,31.4,83.23,14.74,0,
C1,D01,X25,,1,0.07307,8.59,0,0,31.4,82.51,14.76,0,
C1,E01,X33,,1,0.07509,8.43,0,0,31.3,81.84,14.72,0,
C1,E02,X34,,1,0.07718,8.71,0,0,31.2,81.4,14.74,0,
C1,E03,X35,,1,0.07915,9.76,0,0,31.1,80.69,14.72,0,
C1,E04,X36,,1,0.08113,9.45,0,0,31,80.17,14.73,0,
C1,E05,X37,,1,0.08311,9.45,0,0,30.9,79.92,14.72,0,
C1,E06,X38,,1,0.08507,9.68,0,0,30.8,79.58,14.65,0,
C1,E07,X39,,1,0.08707,9.86,0,0,30.7,79.4,14.72,0,
C1,E08,X40,,1,0.08906,9.22,0,0,30.6,79.26,14.66,0,
C1,F08,X48,,1,0.09106,8.68,0,0,30.5,79.33,14.65,0,
C1,F07,X47,,1,0.09309,9.47,0,0,30.4,79.18,14.64,0,
