READING,WELLNUM,CONTENT,DESCRIPTION,FILTERSET,TIME [h],AMPLITUDE,PHASE,AMPLITUDE2,ACT TEMP [°C],ACT HUMIDITY [rH],ACT O2 [%],ACT CO2 [%],COMMENTS
R,,,,1,0.00665,114.69,0,37.71,28.1,38.37,16.4,0,test measure for referencing with gain 22 and 9
C1,A01,X1,,1,0.00983,11.26,0,0,28.5,44.26,16.31,0,
C1,A02,X2,,1,0.01188,8.89,0,0,28.8,47.74,16.15,0,
C1,A03,X3,,1,0.01388,8.93,0,0,29.2,50.92,16.06,0,
C1,A04,X4,,1,0.01589,8.95,0,0,29.5,52.94,16.02,0,
C1,A05,X5,,1,0.01786,8.93,0,0,29.9,54.31,15.87,0,
C1,A06,X6,,1,0.01983,8.51,0,0,30.3,55.73,15.79,0,
C1,A07,X7,,1,0.02183,9.47,0,0,30.7,56.51,15.74,0,
C1,A08,X8,,1,0.02382,8.34,0,0,31.1,57.3,15.66,0,
C1,B08,X16,,1,0.02591,9.64,0,0,31.6,57.61,15.57,0,
C1,B07,X15,,1,0.02788,9,0,0,31.9,57.88,15.48,0,
C1,B06,X14,,1,0.02988,9.12,0,0,32.4,57.95,15.4,0,
C1,B05,X13,,1,0.03186,9.15,0,0,32.8,58.08,15.37,0,
C1,B04,X12,,1,0.03385,8.94,0,0,33.1,57.89,15.3,0,
C1,B03,X11,,1,0.03583,9.41,0,0,33.4,57.59,15.21,0,
C1,B02,X10,,1,0.03785,8.92,0,0,33.8,57.29,15.19,0,
C1,B01,X9,,1,0.03985,9.9,0,0,34,56.86,15.11,0,
C1,C01,X17,,1,0.04185,9.61,0,0,34.2,56.51,15.1,0,
C1,C02,X18,,1,0.04382,9.64,0,0,34.4,56.25,15.02,0,
C1,C03,X19,,1,0.0458,10.1,0,0,34.6,55.86,15.01,0,
C1,C04,X20,,1,0.04779,9.8,0,0,34.6,55.6,14.93,0,
C1,C05,X21,,1,0.04977,9.49,0,0,34.7,55.35,14.91,0,
C1,C06,X22,,1,0.0518,9.73,0,0,34.8,55.27,14.84,0,
C1,C07,X23,,1,0.05382,9.73,0,0,34.8,55.27,14.84,0,
C1,C08,X24,,1,0.05584,9.02,0,0,34.7,55.34,14.81,0,
C1,D08,X32,,1,0.05785,9.62,0,0,34.7,55.47,14.74,0,
C1,D07,X31,,1,0.05993,10.01,0,0,34.6,55.61,14.73,0,
C1,D06,X30,,1,0.06192,10.2,0,0,34.5,55.94,14.72,0,
C1,D05,X29,,1,0.06399,9.79,0,0,34.4,56.22,14.65,0,
C1,D04,X28,,1,0.06602,10.54,0,0,34.2,56.59,14.65,0,
C1,D03,X27,,1,0.06814,10.43,0,0,34.1,56.99,14.57,0,
C1,D02,X26,,1,0.0701,9.74,0,0,33.9,57.37,14.63,0,
C1,D01,X25,,1,0.07214,9.57,0,0,33.8,57.76,14.57,0,
C1,E01,X33,,1,0.0742,8.76,0,0,33.6,58.07,14.53,0,
C1,E02,X34,,1,0.07623,9.73,0,0,33.4,58.54,14.54,0,
C1,E03,X35,,1,0.07819,10.6,0,0,33.3,58.93,14.48,0,
C1,E04,X36,,1,0.08019,10.81,0,0,33.1,59.5,14.47,0,
C1,E05,X37,,1,0.08219,10.12,0,0,32.8,59.84,14.45,0,
C1,E06,X38,,1,0.08418,10.88,0,0,32.7,59.72,14.44,0,
C1,E07,X39,,1,0.08615,10.18,0,0,32.5,59.52,14.45,0,
C1,E08,X40,,1,0.08812,9.43,0,0,32.3,59.19,14.42,0,
C1,F08,X48,,1,0.09013,8.98,0,0,32.1,58.59,14.44,0,
C1,F07,X47,,1,0.09218,9.79,0,0,31.9,58.14,14.38,0,
C1,F06,X46,,1,0.09417,10.25,0,0,31.8,57.82,14.37,0,
C1,F05,X45,,1,0.09614,10.12,0,0,31.6,57.62,14.37,0,
C1,F04,X44,,1,0.09814,11.21,0,0,31.4,57.3,14.35,0,
C1,F03,X43,,1,0.10012,10.33,0,0,31.2,57.16,14.35,0,
C1,F02,X42,,1,0.10212,9.59,0,0,31.1,57.32,14.37,0,
C1,F01,X41,,1,0.10415,8.78,0,0,30.9,57.36,14.36,0,
R,,,,2,0.10967,112.23,0,36.45,30.5,57.87,14.34,0,test measure for referencing with gain 22 and 9
C1,A01,X1,,2,0.11505,48.15,0,0,30.2,58.73,14.34,0,
C1,A02,X2,,2,0.11702,37.94,0,0,30.1,59.06,14.27,0,
C1,A03,X3,,2,0.11899,38.14,0,0,29.9,59.64,14.29,0,
C1,A04,X4,,2,0.12098,38.15,0,0,29.9,60.16,14.26,0,
C1,A05,X5,,2,0.12294,37.99,0,0,29.8,60.74,14.26,0,
C1,A06,X6,,2,0.12493,36.42,0,0,29.6,61.26,14.26,0,
C1,A07,X7,,2,0.12702,40.63,0,0,29.6,62.1,14.26,0,
C1,A08,X8,,2,0.12903,35.62,0,0,29.5,62.7,14.19,0,
C1,B08,X16,,2,0.13104,38.22,0,0,29.4,63.72,14.25,0,
C1,B07,X15,,2,0.13311,38.62,0,0,29.4,64.44,14.19,0,
C1,B06,X14,,2,0.13514,39.06,0,0,29.3,65.35,14.18,0,
C1,B05,X13,,2,0.13713,39.13,0,0,29.3,66.07,14.16,0,
C1,B04,X12,,2,0.13922,38.23,0,0,29.2,66.99,14.17,0,
C1,B03,X11,,2,0.14122,40.28,0,0,29.1,67.71,14.1,0,
C1,B02,X10,,2,0.14322,38.26,0,0,29.1,68.68,14.1,0,
C1,B01,X9,,2,0.14522,42.3,0,0,29.1,69.39,14.09,0,
C1,C01,X17,,2,0.14723,41.24,0,0,29.1,70.61,14.08,0,
C1,C02,X18,,2,0.14922,41.49,0,0,29,71.46,14.07,0,
C1,C03,X19,,2,0.15128,43.45,0,0,29,72.56,14.01,0,
C1,C04,X20,,2,0.15332,42.08,0,0,29,73.35,14,0,
C1,C05,X21,,2,0.15533,40.94,0,0,28.9,74.58,14,0,
C1,C06,X22,,2,0.15729,41.96,0,0,28.9,75.43,14,0,
C1,C07,X23,,2,0.15929,41.89,0,0,28.9,76.59,13.98,0,
C1,C08,X24,,2,0.16125,38.54,0,0,28.9,77.37,13.91,0,
C1,D08,X32,,2,0.16328,41.45,0,0,28.9,78.4,13.91,0,
C1,D07,X31,,2,0.16538,43,0,0,28.9,79.59,13.91,0,
C1,D06,X30,,2,0.16737,44.04,0,0,28.9,80.63,13.88,0,
C1,D05,X29,,2,0.16937,42.21,0,0,28.9,81.39,13.89,0,
C1,D04,X28,,2,0.17144,46.3,0,0,29,82.45,13.82,0,
C1,D03,X27,,2,0.17357,44.85,0,0,29,83.27,13.81,0,
C1,D02,X26,,2,0.17555,41.92,0,0,29,84.07,13.81,0,
C1,D01,X25,,2,0.17753,41.46,0,0,29.1,84.73,13.8,0,
C1,E01,X33,,2,0.17954,37.61,0,0,29.1,85.55,13.78,0,
C1,E02,X34,,2,0.18157,41.83,0,0,29.1,86.29,13.73,0,
C1,E03,X35,,2,0.18358,45.39,0,0,29.1,86.74,13.71,0,
C1,E04,X36,,2,0.18558,46.52,0,0,29.1,87.06,13.7,0,
C1,E05,X37,,2,0.1876,43.76,0,0,29.1,87.51,13.63,0,
C1,E06,X38,,2,0.18958,46.79,0,0,29.1,87.97,13.63,0,
C1,E07,X39,,2,0.19156,43.85,0,0,29.2,88.43,13.54,0,
