READING,WELLNUM,CONTENT,DESCRIPTION,FILTERSET,TIME [h],AMPLITUDE,PHASE,AMPLITUDE2,ACT TEMP [°C],ACT HUMIDITY [rH],ACT O2 [%],ACT CO2 [%],COMMENTS
R,,,,1,0.00676,104.6,0,34.45,27.6,53.32,13.98,0.05,test measure for referencing with gain 22 and 9
C1,A01,X1,,1,0.00994,9.17,0,0,28.1,70.48,13.99,0.05,
C1,A02,X2,,1,0.01197,9.6,0,0,28.6,77.63,13.98,0.05,
C1,A03,X3,,1,0.01396,9.27,0,0,28.9,84.19,13.91,0.05,
C1,A04,X4,,1,0.01595,10.09,0,0,29.4,87.96,13.81,0.05,
C1,A05,X5,,1,0.01804,9.31,0,0,29.6,90.31,13.73,0.05,
C1,A06,X6,,1,0.02003,9.17,0,0,29.9,90.1,13.7,0.05,
C1,A07,X7,,1,0.02202,9.11,0,0,30.2,89.54,13.63,0.05,
C1,A08,X8,,1,0.02398,9.21,0,0,30.4,89,13.62,0.05,
C1,B08,X16,,1,0.02601,9.51,0,0,30.8,88.55,13.54,0.05,
C1,B07,X15,,1,0.02799,9.67,0,0,31,87.9,13.54,0.05,
C1,B06,X14,,1,0.02998,9.62,0,0,31.2,87.38,13.52,0.05,
C1,B05,X13,,1,0.03196,11.66,0,0,31.4,86.66,13.52,0.05,
C1,B04,X12,,1,0.03392,9.55,0,0,31.6,86.14,13.45,0.05,
C1,B03,X11,,1,0.03593,10.18,0,0,31.8,85.55,13.45,0.05,
C1,B02,X10,,1,0.03794,10.29,0,0,31.8,85.17,13.44,0.05,
C1,B01,X9,,1,0.03997,12.71,0,0,31.9,84.64,13.45,0.05,
C1,C01,X17,,1,0.04201,11.17,0,0,32.1,85.03,13.43,0.05,
C1,C02,X18,,1,0.04402,9.95,0,0,32.1,86.22,13.42,0.05,
C1,C03,X19,,1,0.04599,10.12,0,0,32.1,86.15,13.43,0.05,
C1,C04,X20,,1,0.04797,10.66,0,0,32.1,85.77,13.36,0.05,
C1,C05,X21,,1,0.04999,10.1,0,0,32.1,85.38,13.36,0.05,
C1,C06,X22,,1,0.05197,10.13,0,0,32.1,85,13.35,0.05,
C1,C07,X23,,1,0.05396,10.03,0,0,32.1,84.72,13.35,0.05,
C1,C08,X24,,1,0.05595,9.85,0,0,32,85.15,13.35,0.05,
C1,D08,X32,,1,0.058,10.51,0,0,31.9,86.34,13.34,0.05,
C1,D07,X31,,1,0.06005,10.83,0,0,31.9,86.54,13.33,0.05,
C1,D06,X30,,1,0.06207,10.62,0,0,31.8,86.29,13.32,0.05,
C1,D05,X29,,1,0.06408,10.2,0,0,31.7,85.77,13.27,0.05,
C1,D04,X28,,1,0.0661,10.6,0,0,31.6,85.44,13.32,0.05,
C1,D03,X27,,1,0.06815,10.28,0,0,31.5,84.6,13.33,0.05,
C1,D02,X26,,1,0.07017,9.77,0,0,31.4,84.34,13.27,0.05,
C1,D01,X25,,1,0.07221,9.86,0,0,31.4,84.6,13.32,0.05,
C1,E01,X33,,1,0.07421,9.19,0,0,31.2,84.66,13.32,0.05,
C1,E02,X34,,1,0.07616,10.07,0,0,31.1,84.54,13.25,0.05,
C1,E03,X35,,1,0.07816,10.85,0,0,31.1,84.48,13.26,0.05,
C1,E04,X36,,1,0.08012,10.93,0,0,31,84.58,13.25,0.05,
C1,E05,X37,,1,0.08223,10.16,0,0,30.9,84.47,13.25,0.05,
C1,E06,X38,,1,0.08422,12.5,0,0,30.8,84.41,13.25,0.05,
C1,E07,X39,,1,0.08629,11.1,0,0,30.8,84.41,13.25,0.05,
C1,E08,X40,,1,0.08829,11.74,0,0,30.7,84.54,13.25,0.05,
C1,F08,X48,,1,0.09027,10.75,0,0,30.6,84.46,13.25,0.05,
C1,F07,X47,,1,0.09226,13.49,0,0,30.6,84.54,13.26,0.05,
C1,F06,X46,,1,0.09424,10.46,0,0,30.5,84.72,13.26,0.05,
C1,F05,X45,,1,0.09622,10.85,0,0,30.4,84.98,13.26,0.05,
C1,F04,X44,,1,0.0982,11.24,0,0,30.4,84.98,13.25,0.05,
C1,F03,X43,,1,0.10021,10.88,0,0,30.3,85.23,13.26,0.05,
C1,F02,X42,,1,0.10219,9.91,0,0,30.3,85.17,13.25,0.05,
C1,F01,X41,,1,0.10419,9.23,0,0,30.2,84.39,13.26,0.05,
R,,,,2,0.10966,103.8,0,34.42,30.1,85.03,13.26,0.05,test measure for referencing with gain 22 and 9
C1,A01,X1,,2,0.11503,39.27,0,0,30,84.53,13.26,0.05,
C1,A02,X2,,2,0.11704,41.3,0,0,29.9,85.11,13.32,0.05,
C1,A03,X3,,2,0.11901,39.6,0,0,29.9,85.57,13.32,0.05,
C1,A04,X4,,2,0.121,43.41,0,0,29.9,84.88,13.32,0.05,
C1,A05,X5,,2,0.123,39.95,0,0,29.8,84.59,13.32,0.05,
C1,A06,X6,,2,0.12499,39.32,0,0,29.8,85.39,13.32,0.05,
C1,A07,X7,,2,0.12696,39,0,0,29.8,85.17,13.32,0.05,
C1,A08,X8,,2,0.12892,39.17,0,0,29.8,84.72,13.32,0.05,
C1,B08,X16,,2,0.13095,40.9,0,0,29.7,85.36,13.33,0.05,
C1,B07,X15,,2,0.13294,41.71,0,0,29.6,85.63,13.32,0.05,
C1,B06,X14,,2,0.13493,41.43,0,0,29.6,85.37,13.32,0.05,
C1,B05,X13,,2,0.13688,50.42,0,0,29.6,85.24,13.32,0.05,
C1,B04,X12,,2,0.13886,40.95,0,0,29.6,85.43,13.34,0.05,
C1,B03,X11,,2,0.14099,43.06,0,0,29.5,85.57,13.34,0.05,
C1,B02,X10,,2,0.14298,44.24,0,0,29.5,85.76,13.34,0.05,
