READING,WELLNUM,CONTENT,DESCRIPTION,FILTERSET,TIME [h],AMPLITUDE,PHASE,AMPLITUDE2,ACT TEMP [°C],ACT HUMIDITY [rH],ACT O2 [%],ACT CO2 [%],COMMENTS
R,,,,1,0.01854,108.82,0,35.85,29.8,54.15,15.19,0,test measure for referencing with gain 22 and 9
C1,A01,X1,,1,0.02169,9.68,0,0,30.3,55.96,15.11,0,
C1,A02,X2,,1,0.02365,9.1,0,0,30.6,56.62,15.1,0,
C1,A03,X3,,1,0.02561,9.55,0,0,30.9,57.07,15.09,0,
C1,A04,X4,,1,0.0276,9.13,0,0,31.3,57.46,15.09,0,
C1,A05,X5,,1,0.02956,9.52,0,0,31.6,57.66,15.02,0,
C1,A06,X6,,1,0.03153,9.17,0,0,31.9,57.72,15,0,
C1,A07,X7,,1,0.03351,9.74,0,0,32.1,57.66,14.93,0,
C1,A08,X8,,1,0.0355,8.7,0,0,32.4,57.76,14.93,0,
C1,B08,X16,,1,0.03749,9.29,0,0,32.6,57.65,14.84,0,
C1,B07,X15,,1,0.03946,9.78,0,0,32.8,57.62,14.84,0,
C1,B06,X14,,1,0.04145,9.63,0,0,33,57.46,14.84,0,
C1,B05,X13,,1,0.04343,9.68,0,0,33.1,57.4,14.82,0,
C1,B04,X12,,1,0.0454,9.2,0,0,33.2,57.27,14.82,0,
C1,B03,X11,,1,0.04738,9.86,0,0,33.3,57.27,14.81,0,
C1,B02,X10,,1,0.04937,9.5,0,0,33.3,57.33,14.81,0,
C1,B01,X9,,1,0.05137,10.08,0,0,33.3,57.33,14.74,0,
C1,C01,X17,,1,0.05345,9.88,0,0,33.3,57.47,14.71,0,
C1,C02,X18,,1,0.05544,9.88,0,0,33.3,57.59,14.72,0,
C1,C03,X19,,1,0.05742,10.18,0,0,33.3,57.86,14.66,0,
C1,C04,X20,,1,0.05942,9.27,0,0,33.2,58.05,14.66,0,
C1,C05,X21,,1,0.06139,9.96,0,0,33.1,58.32,14.66,0,
C1,C06,X22,,1,0.06355,10.1,0,0,33,58.57,14.64,0,
C1,C07,X23,,1,0.06555,9.99,0,0,32.9,58.96,14.63,0,
C1,C08,X24,,1,0.06751,9.24,0,0,32.8,59.28,14.57,0,
C1,D08,X32,,1,0.06951,9.53,0,0,32.6,59.67,14.56,0,
C1,D07,X31,,1,0.07148,11.07,0,0,32.6,60,14.56,0,
C1,D06,X30,,1,0.07347,10.56,0,0,32.4,60.4,14.54,0,
C1,D05,X29,,1,0.07543,10.26,0,0,32.3,60.78,14.55,0,
C1,D04,X28,,1,0.07741,10.47,0,0,32.1,61.04,14.53,0,
C1,D03,X27,,1,0.07938,10.61,0,0,32,61.56,14.53,0,
C1,D02,X26,,1,0.08138,10.42,0,0,31.9,61.82,14.47,0,
C1,D01,X25,,1,0.08335,9.95,0,0,31.8,62.27,14.49,0,
C1,E01,X33,,1,0.08533,10.86,0,0,31.6,62.66,14.47,0,
C1,E02,X34,,1,0.0873,10.26,0,0,31.4,63.2,14.47,0,
C1,E03,X35,,1,0.08929,10.75,0,0,31.3,63.39,14.46,0,
C1,E04,X36,,1,0.09124,10.77,0,0,31.2,63.52,14.45,0,
C1,E05,X37,,1,0.09322,10.82,0,0,31.1,63.78,14.44,0,
C1,E06,X38,,1,0.09518,11.1,0,0,30.9,63.91,14.44,0,
C1,E07,X39,,1,0.09724,10.27,0,0,30.8,63.84,14.38,0,
C1,E08,X40,,1,0.09927,10.54,0,0,30.7,64.04,14.44,0,
C1,F08,X48,,1,0.10132,9.67,0,0,30.6,64.35,14.43,0,
C1,F07,X47,,1,0.10338,10.22,0,0,30.5,64.55,14.37,0,
C1,F06,X46,,1,0.10537,10.98,0,0,30.4,64.62,14.37,0,
C1,F05,X45,,1,0.10739,11.15,0,0,30.3,65,14.43,0,
C1,F04,X44,,1,0.10938,11.61,0,0,30.2,65.33,14.38,0,
C1,F03,X43,,1,0.11144,10.35,0,0,30.1,65.7,14.37,0,
C1,F02,X42,,1,0.11342,10.15,0,0,30,65.98,14.35,0,
C1,F01,X41,,1,0.11543,10.14,0,0,29.9,66.59,14.36,0,
R,,,,2,0.12088,108.34,0,35.44,29.7,68.12,14.34,0,test measure for referencing with gain 22 and 9
C1,A01,X1,,2,0.1262,41.16,0,0,29.6,69.75,14.34,0,
C1,A02,X2,,2,0.12826,43.08,0,0,29.5,70.59,14.27,0,
C1,A03,X3,,2,0.13025,40.18,0,0,29.4,71.18,14.28,0,
C1,A04,X4,,2,0.13226,39.88,0,0,29.4,71.96,14.27,0,
C1,A05,X5,,2,0.13423,40.81,0,0,29.4,72.68,14.27,0,
C1,A06,X6,,2,0.13621,38.42,0,0,29.3,73.76,14.27,0,
C1,A07,X7,,2,0.13826,39.53,0,0,29.3,74.29,14.27,0,
C1,A08,X8,,2,0.14028,36.96,0,0,29.3,75.07,14.28,0,
C1,B08,X16,,2,0.14234,38.72,0,0,29.3,75.72,14.19,0,
C1,B07,X15,,2,0.1443,42.57,0,0,29.2,76.45,14.25,0,
C1,B06,X14,,2,0.14626,40.83,0,0,29.2,76.91,14.19,0,
C1,B05,X13,,2,0.14822,41.05,0,0,29.2,77.53,14.25,0,
C1,B04,X12,,2,0.15021,39.59,0,0,29.2,78,14.19,0,
C1,B03,X11,,2,0.1522,42.51,0,0,29.2,78.6,14.19,0,
C1,B02,X10,,2,0.15418,40.36,0,0,29.2,79.05,14.17,0,
C1,B01,X9,,2,0.15615,42.91,0,0,29.2,79.24,14.17,0,
C1,C01,X17,,2,0.15816,41.8,0,0,29.2,79.49,14.16,0,
C1,C02,X18,,2,0.16016,42.39,0,0,29.2,79.56,14.15,0,
C1,C03,X19,,2,0.16214,42.92,0,0,29.2,79.76,14.15,0,
