READING,WELLNUM,CONTENT,DESCRIPTION,FILTERSET,TIME [h],AMPLITUDE,PHASE,AMPLITUDE2,ACT TEMP [°C],ACT HUMIDITY [rH],ACT O2 [%],ACT CO2 [%],COMMENTS
R,,,,1,0.00947,110.34,0,35.73,27.9,46.49,15.84,0,test measure for referencing with gain 22 and 9
C1,A01,X1,,1,0.01265,9.1,0,0,28.5,51.76,15.74,0,
C1,A02,X2,,1,0.01466,9.19,0,0,28.8,53.78,15.64,0,
C1,A03,X3,,1,0.01663,9.15,0,0,29.3,55.79,15.56,0,
C1,A04,X4,,1,0.01864,9.26,0,0,29.6,56.96,15.46,0,
C1,A05,X5,,1,0.02062,10.41,0,0,30.1,58.12,15.39,0,
C1,A06,X6,,1,0.02257,8.37,0,0,30.4,58.71,15.37,0,
C1,A07,X7,,1,0.02455,8.88,0,0,30.8,59.11,15.3,0,
C1,A08,X8,,1,0.02655,8.55,0,0,31.3,59.82,15.19,0,
C1,B08,X16,,1,0.02862,8.93,0,0,31.6,59.87,15.18,0,
C1,B07,X15,,1,0.03061,9.27,0,0,32,59.7,15.12,0,
C1,B06,X14,,1,0.03259,9.59,0,0,32.4,59.5,15.09,0,
C1,B05,X13,,1,0.03457,10.13,0,0,32.6,59.17,15,0,
C1,B04,X12,,1,0.03657,9.42,0,0,32.9,58.85,14.99,0,
C1,B03,X11,,1,0.03854,9.22,0,0,33.2,58.46,14.91,0,
C1,B02,X10,,1,0.04054,9.17,0,0,33.4,58.13,14.84,0,
C1,B01,X9,,1,0.04251,9.51,0,0,33.6,57.69,14.84,0,
C1,C01,X17,,1,0.04452,9.44,0,0,33.8,57.41,14.83,0,
C1,C02,X18,,1,0.04655,9.45,0,0,33.9,57.16,14.81,0,
C1,C03,X19,,1,0.04859,11.87,0,0,33.9,57.09,14.75,0,
C1,C04,X20,,1,0.05056,11.79,0,0,33.9,56.97,14.73,0,
C1,C05,X21,,1,0.05272,10.4,0,0,34,57.04,14.66,0,
C1,C06,X22,,1,0.05474,9.54,0,0,33.9,57.03,14.65,0,
C1,C07,X23,,1,0.05669,9.61,0,0,33.9,57.1,14.64,0,
C1,C08,X24,,1,0.05868,9.67,0,0,33.8,57.22,14.63,0,
C1,D08,X32,,1,0.06067,9.21,0,0,33.8,57.41,14.62,0,
C1,D07,X31,,1,0.06276,9.86,0,0,33.6,57.62,14.55,0,
C1,D06,X30,,1,0.06478,10.11,0,0,33.5,57.81,14.54,0,
C1,D05,X29,,1,0.06676,10.59,0,0,33.4,58.2,14.53,0,
C1,D04,X28,,1,0.06887,12.26,0,0,33.3,58.54,14.53,0,
C1,D03,X27,,1,0.07086,12.54,0,0,33.1,58.79,14.47,0,
C1,D02,X26,,1,0.07284,10.57,0,0,33,59.12,14.47,0,
C1,D01,X25,,1,0.07482,9.28,0,0,32.8,59.5,14.45,0,
C1,E01,X33,,1,0.07683,9.38,0,0,32.6,59.94,14.44,0,
C1,E02,X34,,1,0.0788,10.26,0,0,32.5,60.37,14.38,0,
C1,E03,X35,,1,0.08078,12.22,0,0,32.3,60.8,14.37,0,
C1,E04,X36,,1,0.08277,13.21,0,0,32.1,61.26,14.36,0,
C1,E05,X37,,1,0.08475,11.38,0,0,32,61.38,14.36,0,
C1,E06,X38,,1,0.08677,10.71,0,0,31.8,61.8,14.35,0,
C1,E07,X39,,1,0.08882,10.28,0,0,31.6,61.97,14.34,0,
C1,E08,X40,,1,0.0908,9.26,0,0,31.5,61.86,14.28,0,
C1,F08,X48,,1,0.09295,8.97,0,0,31.3,61.77,14.29,0,
C1,F07,X47,,1,0.09491,9.79,0,0,31.2,61.78,14.28,0,
C1,F06,X46,,1,0.0969,10.25,0,0,31.1,61.71,14.27,0,
C1,F05,X45,,1,0.0989,12.64,0,0,30.9,61.71,14.26,0,
C1,F04,X44,,1,0.10089,13.53,0,0,30.8,61.84,14.2,0,
C1,F03,X43,,1,0.10285,11.9,0,0,30.6,62.12,14.19,0,
C1,F02,X42,,1,0.10485,9.92,0,0,30.5,62.22,14.25,0,
C1,F01,X41,,1,0.10683,9.27,0,0,30.4,62.36,14.25,0,
R,,,,2,0.11227,110.16,0,35.76,30.1,63.52,14.18,0,test measure for referencing with gain 22 and 9
C1,A01,X1,,2,0.11764,39.08,0,0,29.8,64.83,14.17,0,
C1,A02,X2,,2,0.11967,39.44,0,0,29.8,65.68,14.16,0,
C1,A03,X3,,2,0.12166,39.11,0,0,29.6,66.21,14.16,0,
C1,A04,X4,,2,0.12364,39.93,0,0,29.6,66.98,14.1,0,
C1,A05,X5,,2,0.12562,46.11,0,0,29.5,67.69,14.09,0,
C1,A06,X6,,2,0.12762,35.9,0,0,29.4,68.71,14.1,0,
C1,A07,X7,,2,0.12961,38.32,0,0,29.4,69.39,14.09,0,
C1,A08,X8,,2,0.13161,36.57,0,0,29.3,70.08,14.09,0,
C1,B08,X16,,2,0.13364,38.2,0,0,29.3,71,14.09,0,
C1,B07,X15,,2,0.13571,40.08,0,0,29.3,72.04,14.06,0,
C1,B06,X14,,2,0.13769,41.37,0,0,29.2,72.7,14.01,0,
C1,B05,X13,,2,0.13968,43.98,0,0,29.2,73.66,14.01,0,
C1,B04,X12,,2,0.14167,40.42,0,0,29.1,74.52,14.06,0,
C1,B03,X11,,2,0.14366,39.46,0,0,29.1,75.43,13.99,0,
C1,B02,X10,,2,0.14563,39.33,0,0,29.1,76.4,13.99,0,
C1,B01,X9,,2,0.14764,40.88,0,0,29.1,77.12,13.97,0,
C1,C01,X17,,2,0.14978,40.52,0,0,29.1,77.95,13.97,0,
C1,C02,X18,,2,0.15176,40.72,0,0,29.1,78.69,13.91,0,
C1,C03,X19,,2,0.15372,51.03,0,0,29.1,79.4,13.91,0,
C1,C04,X20,,2,0.15571,50.72,0,0,29,79.98,13.89,0,
C1,C05,X21,,2,0.15769,45.87,0,0,29,80.63,13.88,0,
C1,C06,X22,,2,0.1597,41.31,0,0,29,81.21,13.88,0,
