READING,WELLNUM,CONTENT,DESCRIPTION,FILTERSET,TIME [h],AMPLITUDE,PHASE,AMPLITUDE2,ACT TEMP [°C],ACT HUMIDITY [rH],ACT O2 [%],ACT CO2 [%],COMMENTS
R,,,,1,0.01865,117.79,0,37.59,27,57.8,14.57,0,test measure for referencing with gain 22 and 9
C1,A01,X1,,1,0.02177,11.41,0,0,27.4,59.56,14.55,0,
C1,A02,X2,,1,0.0238,11.09,0,0,27.8,60.47,14.54,0,
C1,A03,X3,,1,0.02579,11.13,0,0,28.2,61.12,14.53,0,
C1,A04,X4,,1,0.02776,10.68,0,0,28.6,61.58,14.48,0,
C1,A05,X5,,1,0.02975,10.51,0,0,28.9,62.23,14.47,0,
C1,A06,X6,,1,0.0318,12.71,0,0,29.3,62.42,14.46,0,
C1,A07,X7,,1,0.03382,13.05,0,0,29.6,62.29,14.45,0,
C1,A08,X8,,1,0.03585,13.29,0,0,29.9,62.22,14.44,0,
C1,B08,X16,,1,0.03786,14.23,0,0,30.3,62.09,14.43,0,
C1,B07,X15,,1,0.03982,13.67,0,0,30.6,61.85,14.44,0,
C1,B06,X14,,1,0.04182,13.48,0,0,30.8,61.57,14.38,0,
C1,B05,X13,,1,0.04393,11.31,0,0,31.1,61.19,14.38,0,
C1,B04,X12,,1,0.04592,11.15,0,0,31.4,60.92,14.35,0,
C1,B03,X11,,1,0.04795,10.68,0,0,31.6,60.47,14.35,0,
C1,B02,X10,,1,0.05002,11.06,0,0,31.8,60.22,14.36,0,
C1,B01,X9,,1,0.05201,11.14,0,0,31.9,59.89,14.35,0,
C1,C01,X17,,1,0.05404,10.91,0,0,32.1,59.67,14.34,0,
C1,C02,X18,,1,0.056,11.25,0,0,32.1,59.5,14.29,0,
C1,C03,X19,,1,0.05799,11.21,0,0,32.2,59.29,14.28,0,
C1,C04,X20,,1,0.05996,11.82,0,0,32.3,59.24,14.28,0,
C1,C05,X21,,1,0.06196,11.43,0,0,32.3,59.18,14.26,0,
C1,C06,X22,,1,0.06396,13.97,0,0,32.3,58.99,14.28,0,
C1,C07,X23,,1,0.06596,13.8,0,0,32.3,59.05,14.29,0,
C1,C08,X24,,1,0.06797,13.48,0,0,32.3,59.24,14.28,0,
C1,D08,X32,,1,0.06998,13.34,0,0,32.1,59.29,14.27,0,
C1,D07,X31,,1,0.07204,14.41,0,0,32.1,59.43,14.26,0,
C1,D06,X30,,1,0.07404,14.29,0,0,32,59.62,14.26,0,
C1,D05,X29,,1,0.07604,11.34,0,0,31.9,59.89,14.26,0,
C1,D04,X28,,1,0.07803,11.69,0,0,31.8,60.14,14.19,0,
C1,D03,X27,,1,0.08,11.86,0,0,31.7,60.47,14.2,0,
C1,D02,X26,,1,0.08203,10.98,0,0,31.6,60.78,14.25,0,
C1,D01,X25,,1,0.08403,10.88,0,0,31.5,61.19,14.19,0,
C1,E01,X33,,1,0.08602,10.6,0,0,31.4,61.49,14.18,0,
C1,E02,X34,,1,0.08804,11.22,0,0,31.3,61.95,14.17,0,
C1,E03,X35,,1,0.09006,11.75,0,0,31.1,62.28,14.19,0,
C1,E04,X36,,1,0.09207,12.25,0,0,31.1,62.68,14.19,0,
C1,E05,X37,,1,0.09417,11.74,0,0,30.9,63.06,14.16,0,
C1,E06,X38,,1,0.09614,14.89,0,0,30.8,63.56,14.17,0,
C1,E07,X39,,1,0.09816,14.21,0,0,30.7,63.9,14.17,0,
C1,E08,X40,,1,0.10022,13.36,0,0,30.6,64.36,14.18,0,
C1,F08,X48,,1,0.10222,12.04,0,0,30.5,64.75,14.19,0,
C1,F07,X47,,1,0.10421,13.96,0,0,30.4,65.21,14.1,0,
C1,F06,X46,,1,0.10617,13.58,0,0,30.3,65.53,14.1,0,
C1,F05,X45,,1,0.10825,12,0,0,30.2,66,14.16,0,
